sender,receiver,count,total,avg,velocity,unique_devices,last_tx
A2266,A706,1,28859,28859,1,1,33010
A1894,A2090,1,1.7784e+006,1.7784e+006,1,1,36570
A1894,A1148,1,41113,41113,1,1,32927
A1552,A347,1,1000,1000,1,1,33946
A1552,A2320,1,26368,26368,1,1,32858
A959,A1949,1,28946,28946,1,1,32822
A2439,A2019,1,1471,1471,1,1,32966
A2439,A917,1,49306,49306,1,1,38511
A2439,A1072,1,49255,49255,1,1,32751
A2246,A2106,1,2.08402e+006,2.08402e+006,1,1,36572
A2246,A1775,1,6598,6598,1,1,34612
A2246,A368,1,1816,1816,1,1,32255
A719,A1429,1,55046,55046,1,1,32152
A1906,A81,1,1554,1554,1,1,31929
A320,A1922,1,20549,20549,1,1,36739
A320,A1064,1,2.92067e+006,2.92067e+006,1,1,31822
A320,A2397,1,1058,1058,1,1,34263
A320,A2377,1,20306,20306,1,1,35959
A320,A15,1,20366,20366,1,1,36310
A2445,A1193,1,2.34248e+006,2.34248e+006,1,1,31585
A1059,A59,1,48848,48848,1,1,31840
A1059,A1354,1,6.10768e+006,6.10768e+006,1,1,31591
A1059,A215,1,48647,48647,1,1,31401
A1158,A2045,1,41542,41542,1,1,31277
A1983,A495,1,1000,1000,1,1,34810
A1983,A1880,1,852,852,1,1,31255
A1983,A703,1,1660,1660,1,1,31252
A1983,A1084,1,1574,1574,1,1,31251
A1983,A245,1,1858,1858,1,1,31253
A1983,A1077,1,798,798,1,1,31257
A1983,A1288,1,717,717,1,1,31256
A1983,A93,1,817,817,1,1,31254
A1430,A482,1,36459,36459,1,1,31118
A109,A1476,1,20664,20664,1,1,31087
A1706,A138,1,1467,1467,1,1,36531
A1706,A1291,1,1.64594e+006,1.64594e+006,1,1,39920
A1706,A74,1,82267,82267,1,1,31046
A491,A456,1,45989,45989,1,1,36235
A491,A1299,1,1932,1932,1,1,31036
A491,A528,1,537,537,1,1,31037
A491,A270,1,1503,1503,1,1,31035
A491,A1187,1,972,972,1,1,34936
A491,A2439,1,720,720,1,1,31032
A491,A194,1,1733,1733,1,1,31033
A491,A2368,1,667,667,1,1,31031
A491,A963,1,1276,1276,1,1,31034
A387,A883,1,18862,18862,1,1,35061
A387,A250,1,1980,1980,1,1,31014
A387,A323,1,1390,1390,1,1,31013
A387,A1221,1,1503,1503,1,1,31012
A387,A2426,1,1759,1759,1,1,31008
A387,A787,1,1703,1703,1,1,31009
A387,A430,1,1255,1255,1,1,31010
A387,A1506,1,1773,1773,1,1,31011
A312,A1930,1,18755,18755,1,1,40076
A312,A1668,1,18980,18980,1,1,31348
A312,A2058,1,18142,18142,1,1,30875
A1826,A2015,1,23966,23966,1,1,31223
A1826,A2057,1,1000,1000,1,1,30641
A917,A832,1,88149,88149,1,1,33796
A917,A920,1,88203,88203,1,1,30604
A579,A513,1,90556,90556,1,1,30574
A579,A684,1,6.34336e+006,6.34336e+006,1,1,33730
A579,A2177,1,6.17478e+006,6.17478e+006,1,1,33733
A579,A1927,1,6.15816e+006,6.15816e+006,1,1,33732
A579,A2053,1,7.89895e+006,7.89895e+006,1,1,33731
A2455,A1979,1,37289,37289,1,1,32523
A2455,A197,1,37280,37280,1,1,30572
A101,A570,1,61656,61656,1,1,34860
A101,A2363,1,61251,61251,1,1,30560
A820,A1779,1,48516,48516,1,1,34372
A820,A2045,1,1698,1698,1,1,30339
A395,A85,1,71157,71157,1,1,33519
A395,A1262,1,1000,1000,1,1,31158
A395,A1049,1,1000,1000,1,1,30332
A1785,A1462,1,61085,61085,1,1,36819
A1785,A1474,1,1827,1827,1,1,33491
A1785,A2470,1,1000,1000,1,1,30192
A2172,A914,1,26448,26448,1,1,30128
A966,A1916,1,8581,8581,1,1,34685
A966,A1364,1,8511,8511,1,1,30076
A1985,A1354,1,2.71459e+006,2.71459e+006,1,1,31590
A1985,A1589,1,1000,1000,1,1,29951
A1985,A1184,1,60329,60329,1,1,29768
A1986,A1929,1,799797,799797,1,1,37544
A1986,A737,1,6.24679e+006,6.24679e+006,1,1,37491
A1986,A1704,1,55386,55386,1,1,29463
A983,A1466,1,83317,83317,1,1,32046
A983,A1473,1,6.0943e+006,6.0943e+006,1,1,29643
A983,A1113,1,83599,83599,1,1,29053
A1293,A1619,1,1000,1000,1,1,35155
A1293,A377,1,2.53907e+006,2.53907e+006,1,1,30892
A1293,A2192,1,36312,36312,1,1,29030
A1347,A2173,1,1222,1222,1,1,39238
A1347,A9,1,81302,81302,1,1,32907
A1347,A1786,1,81226,81226,1,1,28948
A928,A2301,1,51947,51947,1,1,28897
A648,A1678,1,86153,86153,1,1,39303
A648,A2461,1,1.72692e+006,1.72692e+006,1,1,28786
A960,A1290,1,94894,94894,1,1,34997
A960,A1795,1,94995,94995,1,1,28672
A800,A735,1,68218,68218,1,1,31432
A800,A384,1,68258,68258,1,1,28497
A1394,A1654,1,4.94968e+006,4.94968e+006,1,1,36702
A1394,A1492,1,77520,77520,1,1,36154
A489,A1792,1,9.42114e+006,9.42114e+006,1,1,28444
A1457,A1567,1,22301,22301,1,1,28321
A596,A1038,1,65095,65095,1,1,33770
A596,A2111,1,4.76104e+006,4.76104e+006,1,1,28225
A699,A1361,1,1819,1819,1,1,32431
A1545,A95,1,64093,64093,1,1,30972
A1545,A379,1,1.28962e+006,1.28962e+006,1,1,28179
A541,A1334,1,1000,1000,1,1,28160
A658,A2248,1,70541,70541,1,1,33049
A658,A2078,1,70615,70615,1,1,31869
A658,A1778,1,70483,70483,1,1,27820
A990,A621,1,4.69193e+006,4.69193e+006,1,1,33862
A990,A1807,1,79661,79661,1,1,27479
A670,A858,1,1.23028e+006,1.23028e+006,1,1,27446
A1655,A1491,1,16348,16348,1,1,36195
A1655,A270,1,15918,15918,1,1,27315
A1655,A140,1,15669,15669,1,1,31457
A1655,A229,1,16128,16128,1,1,33320
A1655,A280,1,16359,16359,1,1,33589
A1875,A809,1,7813,7813,1,1,27299
A2233,A1961,1,1932,1932,1,1,38386
A2233,A2036,1,16991,16991,1,1,33710
A2233,A1859,1,17527,17527,1,1,31297
A490,A1958,1,87982,87982,1,1,27187
A1654,A1788,1,44374,44374,1,1,33393
A1654,A643,1,1000,1000,1,1,30847
A1654,A1886,1,939,939,1,1,27093
A2123,A2187,1,30591,30591,1,1,38651
A2123,A1954,1,30932,30932,1,1,32866
A2123,A1737,1,31068,31068,1,1,28853
A2123,A638,1,1875,1875,1,1,27056
A1217,A239,1,18552,18552,1,1,39915
A1217,A2032,1,18426,18426,1,1,39002
A1217,A355,1,18103,18103,1,1,27026
A478,A152,1,4375,4375,1,1,38575
A2301,A2342,1,1000,1000,1,1,27006
A19,A2256,1,1304,1304,1,1,37343
A19,A2143,1,51784,51784,1,1,30637
A19,A1791,1,51407,51407,1,1,26913
A614,A2308,1,837077,837077,1,1,28167
A614,A1298,1,7.92222e+006,7.92222e+006,1,1,26704
A614,A383,1,3.38132e+006,3.38132e+006,1,1,28165
A614,A1202,1,2122,2122,1,1,28164
A614,A1700,1,5.6613e+006,5.6613e+006,1,1,28166
A1078,A1138,1,42890,42890,1,1,26256
A283,A737,1,2.02281e+006,2.02281e+006,1,1,37494
A283,A2491,1,1000,1000,1,1,34364
A283,A1381,1,3.69475e+006,3.69475e+006,1,1,26205
A283,A1765,1,1.5654e+006,1.5654e+006,1,1,26204
A283,A2008,1,3.44885e+006,3.44885e+006,1,1,26206
A283,A1048,1,957614,957614,1,1,26207
A2302,A402,1,68282,68282,1,1,32399
A2302,A1801,1,68473,68473,1,1,26134
A1866,A1403,1,5000,5000,1,1,36067
A365,A1057,1,20491,20491,1,1,31857
A365,A503,1,20074,20074,1,1,26026
A1337,A2315,1,16569,16569,1,1,36253
A2309,A252,1,42992,42992,1,1,38248
A2309,A1310,1,3.5949e+006,3.5949e+006,1,1,25972
A1740,A1175,1,4.31387e+006,4.31387e+006,1,1,25936
A1300,A2072,1,1000,1000,1,1,30639
A1300,A1191,1,17420,17420,1,1,25905
A372,A2020,1,53455,53455,1,1,25882
A1876,A1206,1,76785,76785,1,1,25598
A2153,A705,1,91668,91668,1,1,25552
A2248,A1946,1,36063,36063,1,1,39758
A2248,A1855,1,36170,36170,1,1,37660
A2248,A2117,1,1000,1000,1,1,34204
A2248,A75,1,35991,35991,1,1,25439
A1667,A1645,1,92599,92599,1,1,25435
A153,A1132,1,1532,1532,1,1,31125
A153,A1575,1,5.20387e+006,5.20387e+006,1,1,25418
A153,A525,1,1.48282e+006,1.48282e+006,1,1,28594
A153,A1361,1,7.33333e+006,7.33333e+006,1,1,25419
A153,A923,1,6.60598e+006,6.60598e+006,1,1,25420
A153,A1653,1,4.91383e+006,4.91383e+006,1,1,25421
A1434,A1162,1,97970,97970,1,1,37552
A1434,A689,1,97592,97592,1,1,30203
A1434,A34,1,4.5864e+006,4.5864e+006,1,1,26705
A1434,A1945,1,1000,1000,1,1,25371
A1494,A214,1,97364,97364,1,1,37338
A1494,A56,1,97765,97765,1,1,31606
A1494,A1018,1,97401,97401,1,1,29479
A1494,A802,1,97718,97718,1,1,25311
A13,A2343,1,95747,95747,1,1,33757
A13,A2032,1,95523,95523,1,1,28702
A1865,A1821,1,48988,48988,1,1,25177
A1299,A196,1,1054,1054,1,1,34625
A1299,A2379,1,15719,15719,1,1,25127
A473,A1299,1,1054,1054,1,1,34624
A473,A1309,1,1.5836e+006,1.5836e+006,1,1,25119
A1763,A832,1,66126,66126,1,1,39041
A1763,A698,1,66275,66275,1,1,25110
A68,A2381,1,1000,1000,1,1,39987
A68,A1419,1,86294,86294,1,1,34775
A68,A253,1,85708,85708,1,1,24935
A1962,A1408,1,69575,69575,1,1,36893
A1962,A270,1,69186,69186,1,1,31692
A1962,A861,1,69292,69292,1,1,28731
A1038,A2387,1,99160,99160,1,1,24823
A876,A216,1,63892,63892,1,1,38490
A876,A1046,1,64488,64488,1,1,36886
A876,A2025,1,64666,64666,1,1,24800
A728,A2361,1,1000,1000,1,1,24749
A507,A2166,1,56981,56981,1,1,24704
A945,A232,1,16585,16585,1,1,38963
A945,A1042,1,16383,16383,1,1,24685
A2065,A55,1,90501,90501,1,1,24675
A271,A827,1,56008,56008,1,1,39178
A271,A2018,1,56008,56008,1,1,24545
A845,A1862,1,34175,34175,1,1,33163
A845,A1932,1,1.38503e+006,1.38503e+006,1,1,31112
A845,A1096,1,34162,34162,1,1,24387
A1417,A771,1,24139,24139,1,1,24255
A902,A448,1,28102,28102,1,1,37434
A902,A47,1,27831,27831,1,1,24246
A1807,A491,1,17891,17891,1,1,26235
A1807,A2490,1,1000,1000,1,1,24219
A864,A927,1,1932,1932,1,1,38388
A864,A1007,1,84483,84483,1,1,31979
A864,A441,1,83892,83892,1,1,29043
A864,A2053,1,84311,84311,1,1,24199
A294,A1257,1,16605,16605,1,1,34826
A294,A1932,1,16884,16884,1,1,24166
A2282,A968,1,1937,1937,1,1,32536
A2282,A1310,1,9.60167e+006,9.60167e+006,1,1,25975
A2282,A514,1,3.54686e+006,3.54686e+006,1,1,24162
A73,A426,1,58576,58576,1,1,24054
A982,A1041,1,86042,86042,1,1,24035
A420,A1125,1,80364,80364,1,1,38104
A1987,A2131,1,67244,67244,1,1,37689
A1987,A1906,1,1554,1554,1,1,31928
A1987,A1202,1,67566,67566,1,1,28379
A1987,A1311,1,67236,67236,1,1,23920
A2087,A1026,1,1305,1305,1,1,24716
A2087,A1700,1,7999,7999,1,1,23840
A1834,A308,1,61489,61489,1,1,27995
A1834,A35,1,62159,62159,1,1,23829
A1834,A2157,1,61879,61879,1,1,30073
A1834,A1716,1,61980,61980,1,1,23796
A2113,A1282,1,3.77494e+006,3.77494e+006,1,1,28907
A2113,A212,1,40625,40625,1,1,23739
A2113,A1605,1,1000,1000,1,1,30033
A2113,A2323,1,8.1624e+006,8.1624e+006,1,1,28906
A2113,A1642,1,40468,40468,1,1,31303
A2113,A1726,1,5.08626e+006,5.08626e+006,1,1,28904
A2113,A1649,1,6.65238e+006,6.65238e+006,1,1,28905
A1336,A2009,1,38064,38064,1,1,23708
A1197,A1925,1,35107,35107,1,1,24192
A1197,A1351,1,1000,1000,1,1,23606
A1352,A2465,1,59957,59957,1,1,26320
A1352,A1699,1,60041,60041,1,1,23595
A2385,A780,1,6059,6059,1,1,36895
A2385,A2115,1,1000,1000,1,1,28015
A2385,A1236,1,6310,6310,1,1,23457
A667,A1099,1,66073,66073,1,1,35813
A1803,A2239,1,50553,50553,1,1,33150
A1803,A1153,1,1000,1000,1,1,23365
A2080,A1558,1,2.74351e+006,2.74351e+006,1,1,28914
A2080,A169,1,38275,38275,1,1,23278
A1117,A689,1,14318,14318,1,1,32286
A1117,A646,1,14022,14022,1,1,26458
A1117,A2194,1,14099,14099,1,1,23151
A253,A2092,1,1000,1000,1,1,25549
A253,A1619,1,1.1317e+006,1.1317e+006,1,1,23115
A1071,A724,1,15389,15389,1,1,28086
A1071,A1619,1,2.75033e+006,2.75033e+006,1,1,23114
A1029,A2285,1,6.78652e+006,6.78652e+006,1,1,23053
A1045,A714,1,80598,80598,1,1,30835
A1045,A123,1,80637,80637,1,1,22945
A958,A657,1,1000,1000,1,1,34206
A958,A2221,1,22246,22246,1,1,37498
A958,A1576,1,22574,22574,1,1,33006
A958,A65,1,23027,23027,1,1,22813
A2168,A409,1,70007,70007,1,1,26635
A2168,A818,1,1000,1000,1,1,28004
A2168,A1524,1,70097,70097,1,1,25348
A2168,A2311,1,3.60896e+006,3.60896e+006,1,1,22806
A554,A631,1,65347,65347,1,1,31409
A554,A834,1,65445,65445,1,1,22771
A1228,A1119,1,6917,6917,1,1,22755
A1709,A514,1,95507,95507,1,1,38889
A1917,A1769,1,28423,28423,1,1,38140
A1917,A2206,1,28092,28092,1,1,22675
A641,A2036,1,6.25733e+006,6.25733e+006,1,1,35360
A641,A1971,1,83517,83517,1,1,37916
A641,A1008,1,83056,83056,1,1,34905
A641,A31,1,83391,83391,1,1,22568
A641,A1084,1,4.06148e+006,4.06148e+006,1,1,30728
A641,A253,1,83668,83668,1,1,31413
A641,A2064,1,1000,1000,1,1,25216
A641,A18,1,83424,83424,1,1,27290
A1333,A1134,1,12502,12502,1,1,31908
A1333,A2450,1,12285,12285,1,1,22562
A1333,A1928,1,11747,11747,1,1,25234
A1333,A2089,1,12222,12222,1,1,25421
A1333,A678,1,11971,11971,1,1,31139
A1333,A480,1,12375,12375,1,1,30435
A359,A2078,1,1.66246e+006,1.66246e+006,1,1,36176
A359,A1179,1,23928,23928,1,1,22555
A359,A1693,1,6.13875e+006,6.13875e+006,1,1,36173
A359,A1064,1,7.73491e+006,7.73491e+006,1,1,36174
A359,A1783,1,7.16402e+006,7.16402e+006,1,1,36175
A1570,A874,1,42602,42602,1,1,38129
A1570,A1672,1,43018,43018,1,1,34908
A1570,A952,1,42591,42591,1,1,39398
A1570,A1547,1,43001,43001,1,1,29180
A1570,A1698,1,9.04088e+006,9.04088e+006,1,1,24685
A1570,A526,1,42822,42822,1,1,22474
A1570,A1528,1,6.39038e+006,6.39038e+006,1,1,24682
A1570,A2450,1,43015,43015,1,1,27561
A1570,A1518,1,6.95907e+006,6.95907e+006,1,1,24683
A1570,A1785,1,2.73869e+006,2.73869e+006,1,1,24684
A1628,A1617,1,1827,1827,1,1,33488
A1628,A1738,1,81274,81274,1,1,22403
A568,A1067,1,5000,5000,1,1,39008
A568,A68,1,1000,1000,1,1,39986
A568,A28,1,38605,38605,1,1,22304
A705,A1985,1,956709,956709,1,1,39821
A705,A1180,1,83886,83886,1,1,25999
A705,A337,1,83466,83466,1,1,22292
A2422,A2117,1,5000,5000,1,1,49068
A2422,A477,1,1000,1000,1,1,28384
A2422,A325,1,1203,1203,1,1,22262
A872,A1669,1,86153,86153,1,1,22230
A2352,A1174,1,13974,13974,1,1,22166
A2352,A2093,1,14370,14370,1,1,31631
A2352,A1923,1,14275,14275,1,1,27692
A2352,A1291,1,14372,14372,1,1,23343
A2352,A1673,1,14605,14605,1,1,25107
A122,A383,1,21944,21944,1,1,27077
A122,A810,1,22540,22540,1,1,22122
A2297,A1667,1,11586,11586,1,1,32161
A2297,A2240,1,12041,12041,1,1,31059
A2297,A1187,1,1000,1000,1,1,24223
A2297,A1957,1,11687,11687,1,1,22109
A280,A629,1,47069,47069,1,1,37640
A280,A2130,1,47132,47132,1,1,24768
A280,A1480,1,47152,47152,1,1,22086
A2263,A570,1,49867,49867,1,1,37280
A2263,A503,1,1.0003e+006,1.0003e+006,1,1,22038
A530,A1021,1,51239,51239,1,1,37269
A530,A2003,1,51001,51001,1,1,22494
A530,A1460,1,50980,50980,1,1,36350
A530,A1949,1,50976,50976,1,1,22027
A179,A1776,1,1000,1000,1,1,27227
A179,A380,1,98992,98992,1,1,21975
A114,A497,1,1757,1757,1,1,22764
A114,A2047,1,2040,2040,1,1,26654
A114,A1554,1,2019,2019,1,1,21872
A114,A2042,1,2434,2434,1,1,22253
A114,A315,1,1949,1949,1,1,22774
A1562,A1190,1,39251,39251,1,1,30274
A1562,A1922,1,39326,39326,1,1,21868
A497,A1366,1,89664,89664,1,1,31151
A497,A1098,1,89623,89623,1,1,28186
A497,A432,1,89815,89815,1,1,21859
A1455,A774,1,3.8763e+006,3.8763e+006,1,1,39102
A1455,A1063,1,13278,13278,1,1,34461
A1455,A808,1,1180,1180,1,1,21788
A998,A2011,1,1000,1000,1,1,33611
A998,A1340,1,39445,39445,1,1,25378
A998,A1711,1,39472,39472,1,1,21674
A2040,A1265,1,1000,1000,1,1,21632
A1637,A811,1,45603,45603,1,1,21606
A2114,A2017,1,63276,63276,1,1,37324
A2114,A473,1,63368,63368,1,1,36546
A2114,A1903,1,63194,63194,1,1,22114
A2114,A88,1,62740,62740,1,1,21579
A694,A1963,1,1078,1078,1,1,36358
A694,A2095,1,75753,75753,1,1,21570
A694,A1114,1,75758,75758,1,1,22748
A694,A1186,1,76487,76487,1,1,30043
A694,A1622,1,9.38868e+006,9.38868e+006,1,1,32849
A732,A1385,1,4.90093e+006,4.90093e+006,1,1,21551
A1309,A1466,1,39859,39859,1,1,39744
A1309,A1945,1,40015,40015,1,1,28717
A1309,A2261,1,1.95587e+006,1.95587e+006,1,1,21481
A1051,A2179,1,41216,41216,1,1,35580
A1051,A647,1,3.30654e+006,3.30654e+006,1,1,21378
A2414,A807,1,38312,38312,1,1,21339
A1039,A1967,1,66701,66701,1,1,21336
A1599,A1842,1,9.44451e+006,9.44451e+006,1,1,21261
A1606,A694,1,2305,2305,1,1,39914
A1606,A737,1,1858,1858,1,1,21222
A302,A2000,1,77515,77515,1,1,21213
A1279,A2497,1,91414,91414,1,1,39140
A1279,A117,1,1000,1000,1,1,33261
A1279,A1119,1,91965,91965,1,1,21514
A445,A1860,1,50387,50387,1,1,21198
A1249,A1109,1,54968,54968,1,1,22463
A1249,A2230,1,1833,1833,1,1,21184
A1310,A68,1,14321,14321,1,1,35837
A1310,A336,1,7.0231e+006,7.0231e+006,1,1,21167
A2007,A1354,1,6.79847e+006,6.79847e+006,1,1,31589
A2007,A2494,1,91227,91227,1,1,23137
A2007,A1722,1,1505,1505,1,1,35199
A2007,A2421,1,91273,91273,1,1,21104
A1697,A1260,1,21782,21782,1,1,35681
A1697,A1953,1,22499,22499,1,1,23875
A1697,A919,1,22404,22404,1,1,21059
A264,A835,1,68182,68182,1,1,21018
A264,A1154,1,67722,67722,1,1,21689
A264,A1128,1,8.52804e+006,8.52804e+006,1,1,30727
A264,A2209,1,67893,67893,1,1,23972
A264,A153,1,67942,67942,1,1,25687
A1168,A1676,1,4723,4723,1,1,39181
A1168,A1505,1,1000,1000,1,1,37021
A1168,A1690,1,4896,4896,1,1,27702
A1168,A199,1,4696,4696,1,1,20890
A508,A780,1,46826,46826,1,1,25520
A508,A635,1,2.56774e+006,2.56774e+006,1,1,20842
A2243,A2412,1,75481,75481,1,1,35949
A2243,A2014,1,75503,75503,1,1,26079
A2243,A788,1,74851,74851,1,1,25506
A2243,A1272,1,75116,75116,1,1,20828
A1113,A753,1,75621,75621,1,1,26443
A1113,A1525,1,75723,75723,1,1,20799
A862,A603,1,44519,44519,1,1,38842
A862,A1073,1,44154,44154,1,1,34418
A862,A2283,1,44245,44245,1,1,33809
A862,A1509,1,44249,44249,1,1,20788
A862,A1221,1,44039,44039,1,1,24012
A862,A2157,1,5000,5000,1,1,44995
A862,A1652,1,44318,44318,1,1,31310
A862,A2261,1,1.43812e+006,1.43812e+006,1,1,31282
A1243,A2370,1,987275,987275,1,1,39578
A1243,A2180,1,97506,97506,1,1,36909
A1243,A1073,1,97681,97681,1,1,20769
A1340,A2406,1,1000,1000,1,1,33999
A1340,A2106,1,90842,90842,1,1,28935
A973,A1544,1,1184,1184,1,1,30109
A973,A2035,1,2.38855e+006,2.38855e+006,1,1,21647
A973,A2165,1,914,914,1,1,20715
A383,A1423,1,384536,384536,1,1,32687
A383,A2372,1,7.66379e+006,7.66379e+006,1,1,20883
A383,A2288,1,43255,43255,1,1,20698
A2073,A682,1,87386,87386,1,1,31767
A2073,A1987,1,87030,87030,1,1,25505
A2073,A1003,1,87442,87442,1,1,20641
A1773,A344,1,87125,87125,1,1,38497
A1773,A1346,1,87274,87274,1,1,20629
A1773,A2275,1,86745,86745,1,1,29787
A1773,A1514,1,7.00044e+006,7.00044e+006,1,1,24630
A1773,A227,1,87212,87212,1,1,34079
A1773,A1125,1,1785,1785,1,1,26328
A1827,A2311,1,8.4816e+006,8.4816e+006,1,1,22809
A1827,A2234,1,44540,44540,1,1,22585
A1827,A37,1,44265,44265,1,1,20611
A2185,A1357,1,89474,89474,1,1,24044
A2185,A452,1,89472,89472,1,1,20567
A1556,A254,1,76830,76830,1,1,34350
A1556,A1241,1,1000,1000,1,1,20537
A1556,A85,1,76531,76531,1,1,21966
A1556,A2232,1,76515,76515,1,1,27959
A1556,A562,1,76864,76864,1,1,31258
A1437,A1552,1,52045,52045,1,1,27417
A1437,A2436,1,51813,51813,1,1,20488
A1638,A1890,1,56366,56366,1,1,20370
A1034,A651,1,27369,27369,1,1,36293
A1034,A1071,1,27642,27642,1,1,29432
A1034,A1084,1,27478,27478,1,1,20325
A2448,A1362,1,40813,40813,1,1,31502
A2448,A2395,1,1841,1841,1,1,21990
A2448,A1565,1,40515,40515,1,1,20220
A1415,A544,1,6587,6587,1,1,39778
A1415,A1492,1,6357,6357,1,1,36150
A1415,A800,1,6582,6582,1,1,20089
A1615,A646,1,2.55441e+006,2.55441e+006,1,1,24033
A756,A1011,1,70389,70389,1,1,37366
A756,A1206,1,1753,1753,1,1,19945
A2437,A2357,1,1.86941e+006,1.86941e+006,1,1,35216
A2437,A1693,1,23820,23820,1,1,23060
A2437,A1814,1,23689,23689,1,1,22851
A2437,A1352,1,23602,23602,1,1,19905
A2128,A1126,1,52253,52253,1,1,30089
A2128,A1765,1,52550,52550,1,1,19830
A1582,A443,1,978680,978680,1,1,37211
A1582,A1069,1,48655,48655,1,1,22156
A1582,A2130,1,8.75407e+006,8.75407e+006,1,1,22744
A1582,A1212,1,48811,48811,1,1,19712
A52,A955,1,1013,1013,1,1,36377
A52,A2243,1,4.51958e+006,4.51958e+006,1,1,19711
A1677,A354,1,4.56139e+006,4.56139e+006,1,1,29673
A1677,A721,1,81410,81410,1,1,19613
A774,A2051,1,947917,947917,1,1,37188
A774,A213,1,1585,1585,1,1,36995
A774,A1935,1,1904,1904,1,1,19589
A533,A1590,1,69001,69001,1,1,24857
A533,A2037,1,9.46293e+006,9.46293e+006,1,1,24695
A533,A266,1,69160,69160,1,1,19544
A121,A719,1,75658,75658,1,1,33601
A121,A1803,1,76082,76082,1,1,20683
A121,A2477,1,75949,75949,1,1,19454
A270,A2246,1,1816,1816,1,1,32254
A270,A1124,1,86518,86518,1,1,19321
A2477,A1006,1,94353,94353,1,1,19309
A1553,A1801,1,1221,1221,1,1,19305
A482,A1859,1,6.6166e+006,6.6166e+006,1,1,19302
A482,A1011,1,96468,96468,1,1,34718
A482,A1279,1,96652,96652,1,1,20284
A482,A1763,1,95856,95856,1,1,37162
A482,A2057,1,96397,96397,1,1,21827
A1251,A1477,1,2.64726e+006,2.64726e+006,1,1,19263
A1251,A2278,1,9.14428e+006,9.14428e+006,1,1,19261
A1251,A2370,1,6.37286e+006,6.37286e+006,1,1,19262
A1251,A2296,1,576729,576729,1,1,19260
A2241,A580,1,39928,39928,1,1,19242
A1499,A2170,1,1000,1000,1,1,33973
A1499,A2375,1,1000,1000,1,1,39771
A1499,A2459,1,1.3096e+006,1.3096e+006,1,1,32574
A1499,A2491,1,7.23936e+006,7.23936e+006,1,1,19204
A480,A773,1,5.52779e+006,5.52779e+006,1,1,26985
A480,A2373,1,29299,29299,1,1,23663
A480,A197,1,28822,28822,1,1,39357
A480,A1500,1,29510,29510,1,1,19190
A846,A393,1,1548,1548,1,1,25630
A846,A818,1,708,708,1,1,25629
A846,A2188,1,953,953,1,1,25628
A846,A243,1,11735,11735,1,1,19176
A846,A1982,1,1421,1421,1,1,25625
A846,A1399,1,998,998,1,1,25626
A846,A169,1,924,924,1,1,25627
A669,A2252,1,5544,5544,1,1,28872
A669,A2440,1,5837,5837,1,1,24961
A669,A1043,1,5882,5882,1,1,19107
A2179,A1405,1,967,967,1,1,38537
A2179,A337,1,1532,1532,1,1,38535
A2179,A587,1,1306,1306,1,1,38534
A2179,A1029,1,734,734,1,1,38533
A2179,A35,1,5611,5611,1,1,18941
A2179,A233,1,1961,1961,1,1,38536
A2179,A2428,1,5599,5599,1,1,21564
A2179,A2320,1,6034,6034,1,1,35554
A2179,A398,1,1327,1327,1,1,38532
A143,A1278,1,1000,1000,1,1,31553
A143,A1800,1,7989,7989,1,1,26062
A143,A2112,1,8020,8020,1,1,18905
