node,degree,total_amount,latest_tx,avgNbrDeg,clustering,pagerank,risk,label
A2301,1,1000,27006,5,0,1.49372,2,0
A19,3,104495,37343,4.33333,0,1.00077,2,0
A614,5,1.7804e+007,28167,5.2,0,1.14034,2,0
A1078,1,42890,26256,5,0,0.856217,2,0
A283,6,1.16904e+007,37494,4.5,0,0.899842,2,0
A2302,2,136755,32399,5.5,0,1.50389,2,0
A1866,1,5000,36067,3,0,0.744533,2,0
A365,2,40565,31857,4,0,0.58275,2,0
A1337,1,16569,36253,4,0,0.940769,2,0
A2309,2,3.63789e+006,38248,3,0,2.25221,6,1
A1740,1,4.31387e+006,25936,1,0,0.89753,2,0
A1300,2,18420,30639,1.5,0,0.680934,2,0
A372,1,53455,25882,3,0,1.14935,2,0
A1876,1,76785,25598,2,0,0.359479,2,0
A2153,1,91668,25552,3,0,1.01258,2,0
A2248,4,109224,39758,4,0,1.53016,2,0
A1667,1,92599,25435,5,0,1.15639,2,0
A153,6,2.55414e+007,31125,4.83333,0,2.07781,8,1
A1434,4,4.78296e+006,37552,4,0,1.28034,2,0
A1494,4,390248,37338,4.25,0,0.634629,2,0
A13,2,191270,33757,2,0,0.340048,2,0
A1865,1,48988,25177,5,0,0.606985,2,0
A1299,2,16773,34625,3.5,0,1.14985,2,0
A473,2,1.58465e+006,34624,2.5,0,0.88492,2,0
A1763,2,132401,39041,3,0,1.20476,2,0
A68,3,173002,39987,6.33333,0,2.6791,4,0
A1962,3,208053,36893,2.33333,0,1.34909,2,0
A1038,1,99160,24823,3,0,0.985691,2,0
A876,3,193046,38490,2.33333,0,1.82876,2,0
A728,1,1000,24749,9,0,0.99961,2,0
A507,1,56981,24704,4,0,0.576602,2,0
A945,2,32968,38963,2.5,0,0.832974,2,0
A2065,1,90501,24675,2,0,0.858027,2,0
A271,2,112016,39178,2.5,0,1.08773,2,0
A845,3,1.45336e+006,33163,3.33333,0,0.530714,2,0
A1417,1,24139,24255,6,0,1.29437,2,0
A902,2,55933,37434,3.5,0,0.290144,2,0
A1807,2,18891,26235,7,0,1.31408,2,0
A864,4,254618,38388,3.75,0,1.23758,2,0
A294,2,33489,34826,2,0,0.271703,2,0
A2282,3,1.31505e+007,32536,3.66667,0,1.14909,2,0
A73,1,58576,24054,5,0,0.418448,2,0
A982,1,86042,24035,2,0,0.429441,2,0
A420,1,80364,38104,6,0,1.78011,2,0
A1987,4,203600,37689,6,0,1.50074,2,0
A2087,2,9304,24716,4.5,0,0.212456,2,0
A1834,4,247507,30073,7.5,0,0.488837,2,0
A2113,7,2.37581e+007,31303,4.71429,0,0.815121,4,0
A1336,1,38064,23708,4,0,0.658145,2,0
A1197,2,36107,24192,6,0,0.450968,2,0
A1352,2,119998,26320,3.5,0,0.900399,2,0
A2385,3,13369,36895,3,0,1.79597,2,0
A667,1,66073,35813,1,0,0.439595,2,0
A1803,2,51553,33150,11.5,0,0.972915,3,0
A2080,2,2.78179e+006,28914,3.5,0,0.79149,2,0
A1117,3,42439,32286,1.66667,0,1.61218,2,0
A253,2,1.1327e+006,25549,6,0,1.14708,2,0
A1071,2,2.76572e+006,28086,5,0,0.751064,2,0
A1029,1,6.78652e+006,23053,2,0,1.39521,2,0
A1045,2,161235,30835,5,0,1.91501,2,0
A958,4,68847,37498,6.5,0.166667,0.448635,2,0
A2168,4,3.75007e+006,28004,4.25,0,1.52547,2,0
A554,2,130792,31409,5.5,0,1.96935,2,0
A1228,1,6917,22755,4,0,0.618063,2,0
A1709,1,95507,38889,4,0,0.754646,2,0
A1917,2,56515,38140,5.5,0,0.280581,2,0
A641,8,1.07369e+007,37916,4.375,0,0.762248,2,0
A1333,6,73102,31908,2.16667,0,0.472015,2,0
A359,5,2.27241e+007,36176,5.4,0,0.726023,4,0
A1570,10,2.53861e+007,39398,2.8,0,1.4132,4,0
A1628,2,83101,33488,3,0,1.5793,2,0
A568,3,44605,39986,2.66667,0,0.510711,2,0
A705,3,1.12406e+006,39821,6.33333,0,1.01044,2,0
A2422,3,7203,49068,7,0,0.76434,2,0
A872,1,86153,22230,8,0,0.19585,2,0
A2352,5,71596,31631,3.2,0,0.251409,2,0
A122,2,44484,27077,6.5,0,0.467334,2,0
A2297,4,36314,32161,3.75,0,0.472817,2,0
A280,3,141353,37640,4.33333,0,1.27721,2,0
A2263,2,1.05017e+006,37280,1.5,0,0.416611,2,0
A530,4,204196,37269,3.75,0,1.39423,2,0
A179,2,99992,27227,3.5,0,2.24833,4,0
A114,5,10199,26654,3.2,0,0.546207,2,0
A1562,2,78577,30274,3,0,1.57553,2,0
A497,3,269102,31151,4,0,0.868682,2,0
A1455,3,3.89076e+006,39102,3.66667,0,0.802677,2,0
A998,3,79917,33611,4,0,0.76095,2,0
A2040,1,1000,21632,2,0,1.15471,2,0
A1637,1,45603,21606,2,0,1.16353,2,0
A2114,4,252578,37324,2.5,0,1,2,0
A694,5,9.61776e+006,36358,4.6,0,1.76579,2,0
A732,1,4.90093e+006,21551,3,0,0.779581,2,0
A1309,3,2.03574e+006,39744,8,0,1.74098,2,0
A1051,2,3.34776e+006,35580,6.5,0,1.90573,2,0
A2414,1,38312,21339,3,0,0.69023,2,0
A1039,1,66701,21336,2,0,0.3982,2,0
A1599,1,9.44451e+006,21261,6,0,1.13543,2,0
A1606,2,4163,39914,4,0,0.251793,2,0
A302,1,77515,21213,5,0,0.385755,2,0
A1279,3,184379,39140,3.66667,0,1.3279,2,0
A445,1,50387,21198,2,0,0.6149,2,0
A1249,2,56801,22463,2.5,0,1.29536,2,0
A1310,2,7.03742e+006,35837,5.5,0,2.9994,4,0
A2007,4,6.98247e+006,35199,4.5,0,0.379471,2,0
A1697,3,66685,35681,4.33333,0,1.59292,2,0
A264,5,8.79977e+006,30727,6.4,0,0.612188,2,0
A1168,4,15315,39181,2.25,0,1.08292,2,0
A508,2,2.61457e+006,25520,1.5,0,0.795236,2,0
A2243,4,300951,35949,4.75,0,1.68503,2,0
A1113,2,151344,26443,5,0,1.03196,2,0
A862,8,1.70865e+006,44995,5.75,0,0.371618,2,0
A1243,3,1.18246e+006,39578,3,0,0.857675,2,0
A1340,2,91842,33999,4,0,0.830588,2,0
A973,3,2.39064e+006,30109,5.33333,0,1.65926,2,0
A383,3,8.09158e+006,32687,3.33333,0.333333,1.64296,2,0
A2073,3,261858,31767,5,0,0.960119,2,0
A1773,6,7.35058e+006,38497,3.83333,0.0666667,1.572,2,0
A1827,3,8.5704e+006,22809,2,0,0.218397,2,0
A2185,2,178946,24044,5,0,1,2,0
A1556,5,307740,34350,3.2,0,1.53473,2,0
A1437,2,103858,27417,6.5,0,0.683402,2,0
A1638,1,56366,20370,3,0,0.842054,2,0
A1034,3,82489,36293,4.33333,0,1.68408,2,0
A2448,3,83169,31502,2.66667,0,1.22341,2,0
A1415,3,19526,39778,3.33333,0,0.284766,2,0
A1615,1,2.55441e+006,24033,3,0,0.820163,2,0
A756,2,72142,37366,2,0,1.19467,2,0
A2437,4,1.94052e+006,35216,2.75,0,0.483689,2,0
A2128,2,104803,30089,9.5,0,0.316042,2,0
A1582,4,9.83022e+006,37211,5.5,0,1.14998,2,0
A52,2,4.5206e+006,36377,4,0,0.456478,2,0
A1677,2,4.6428e+006,29673,5,0,0.74952,2,0
A774,3,951406,37188,3.66667,0,1.43822,2,0
A533,3,9.60109e+006,24857,6.33333,0,0.89298,2,0
A121,3,227689,33601,1.33333,0,0.89422,2,0
A270,2,88334,32254,3.5,0,1.25749,2,0
A2477,1,94353,19309,4,0,1.04422,2,0
A1553,1,1221,19305,8,0,1.25703,2,0
A482,5,7.00197e+006,37162,3.8,0,1.48401,2,0
A1251,4,1.87411e+007,19263,4.5,0,0.570826,2,0
A2241,1,39928,19242,2,0,0.269597,2,0
A1499,4,8.55096e+006,39771,7.5,0,1.43824,2,0
A480,4,5.61542e+006,39357,3,0,0.931732,2,0
A846,7,18287,25630,4.85714,0,0.769281,2,0
A669,3,17263,28872,4.33333,0,0.885912,2,0
A2179,9,25071,38537,4.22222,0,1.69739,2,0
A143,3,17009,31553,3.33333,0,1.49769,2,0
A1572,1,88140,18872,6,0,0.760117,2,0
A1923,3,217384,30055,3.66667,0,0.7483,2,0
A2124,4,8.14081e+006,37541,3,0,0.3625,2,0
A849,3,9.8348e+006,31746,4.33333,0,1.06245,2,0
A708,3,6.13719e+006,36573,3.33333,0,0.816797,2,0
A2330,1,1.61867e+006,37186,0,0,0.659594,2,0
A1829,2,7.02809e+006,33089,4.5,0,1.08996,2,0
A2000,5,1.34469e+007,29671,4,0,3.18173,6,1
A977,1,993,35488,1,0,0.380698,2,0
A2196,1,37269,33987,2,0,0.749874,2,0
A1927,12,47686,24867,3.91667,0,2.51546,6,1
A11,3,4.48692e+006,34312,4.66667,0,0.712018,2,0
A1846,2,199413,38687,4.5,0,0.585522,2,0
A2137,2,99847,35221,5.5,0,0.540421,2,0
A1330,2,133772,21393,3,0,0.923652,2,0
A546,2,13651,22994,1.5,0,1.0047,2,0
A1902,1,1000,18435,3,0,0.571572,2,0
A1729,3,162864,31670,5.66667,0,0.465057,2,0
A657,3,162755,38380,6.33333,0,2.9284,6,1
A2082,2,9.79684e+006,28481,2.5,0,0.788709,2,0
A2340,3,159521,39770,5,0.333333,1.02088,2,0
A30,7,6.82997e+006,36142,3.14286,0,1.18963,2,0
A2407,3,241742,25126,4,0,0.711898,2,0
A2155,1,43892,18228,2,0,0.373024,2,0
A1204,2,94358,25917,4,0,1.00952,2,0
A295,2,83364,29151,5,0,0.773704,2,0
A1551,3,6.77803e+006,27649,4,0,0.748903,2,0
A1823,4,265735,30319,6.25,0,0.904033,2,0
A322,7,90566,30630,4.14286,0,0.881432,2,0
A1941,3,1.13846e+006,39653,4,0,0.647679,2,0
A1244,9,6.61522e+006,40135,3.77778,0,0.60758,2,0
A680,1,2295,18050,3,0,0.877976,2,0
A1691,3,108671,32754,7.33333,0,0.748506,2,0
A1452,2,12829,22002,3,0,1.06886,2,0
A1712,5,246319,39620,3.2,0,0.391113,2,0
A2334,1,14367,17939,2,0,0.234058,2,0
A792,2,55619,25837,6.5,0,0.694006,2,0
A50,1,21102,17916,1,0,1.75562,2,0
A1604,2,25653,40114,3,0,1.46936,2,0
A1152,2,91776,32825,7.5,0,0.220796,2,0
A1699,3,9.39712e+006,43727,2.33333,0,1.32238,2,0
A394,2,76080,27905,4,0,0.944042,2,0
A300,4,103924,39809,3.25,0,0.697067,2,0
A539,3,109266,37979,3.66667,0,1.4268,2,0
A2417,3,272662,32890,3.33333,0,0.300134,2,0
A1716,5,4.03145e+006,35726,4.4,0,0.73054,2,0
A1779,2,127173,38736,5,0,0.805267,2,0
A1436,1,202960,17601,3,0,0.694161,2,0
A1375,1,78348,17580,3,0,0.858053,2,0
A487,1,24456,36004,2,0,1.22752,2,0
A1911,2,171095,26212,7.5,0,0.623068,2,0
A856,2,151670,19676,2.5,0,0.198688,2,0
A1409,1,25280,17464,3,0,1,2,0
A1137,2,169094,26415,3.5,0,0.523587,2,0
A1506,2,167259,23652,2.5,0,1.1156,2,0
A1040,2,151621,26526,8.5,0,0.935572,2,0
A2200,3,196731,39426,6.66667,0,0.671874,2,0
A449,2,14562,31156,5.5,0,0.902294,2,0
A1459,3,235179,27339,5.66667,0,1.31342,2,0
A2354,4,1.72449e+007,37937,3,0,1.9424,2,0
A128,1,1.75936e+006,17128,11,0,0.659506,3,0
A510,3,94207,20712,3.66667,0,0.231611,2,0
A637,2,69693,23587,6.5,0,0.772829,2,0
A209,5,74812,35144,3.2,0,0.376714,2,0
A1760,3,245893,39904,4.33333,0,0.405615,2,0
A2333,5,3.89895e+007,17446,4.4,0,0.664881,4,0
A974,3,914013,34933,5.33333,0,1.2821,2,0
A1356,1,940715,21168,3,0,1.0049,2,0
A401,6,101797,17137,3.33333,0,0.776518,2,0
A2394,3,5.6165e+006,36342,4,0,0.414158,2,0
A1054,5,1.81128e+007,29203,2,0,1.13911,2,0
A599,3,7.59767e+006,32522,2.33333,0,0.56421,2,0
A2450,1,44963,16742,3,0,0.537867,2,0
A238,2,138668,38898,3.5,0,0.262876,2,0
A1260,5,99640,33945,3.2,0,1.53873,2,0
A2463,4,45559,36086,4,0,1,2,0
A2098,2,58805,33496,4,0,0.432086,2,0
A229,3,1.76754e+006,30071,6.33333,0,0.776411,2,0
A729,3,9.15835e+006,30218,2.66667,0,0.743052,2,0
A1676,2,185776,37830,3,0,0.99425,2,0
A2462,5,188694,30683,3.2,0,1.14366,2,0
A151,1,18194,30283,2,0,1.12333,2,0
A1965,2,66235,27838,2.5,0,0.542917,2,0
A2335,4,6.26524e+006,28077,4.25,0,0.427209,2,0
A550,18,230334,36227,6.11111,0.00653595,0.611962,4,0
A393,2,172296,40086,5.5,0,1.53217,2,0
A267,7,4.03222e+006,36504,5.42857,0,0.685887,2,0
A60,3,215219,37048,5.33333,0,0.266228,2,0
A941,3,162984,19998,3.66667,0,0.489729,2,0
A866,5,455259,37060,3.8,0,0.814914,2,0
A563,2,14972,21517,2,0,0.809645,2,0
A1698,2,110792,18320,4.5,0,0.530173,2,0
A389,3,245391,28205,5.66667,0,1.79448,2,0
A526,2,1.61985e+006,20212,6,0,1.76118,2,0
A1245,3,103316,27851,2.33333,0,0.492739,2,0
A1102,3,5.52761e+006,30366,7.66667,0,0.817411,2,0
A1255,3,1.24636e+006,33385,3,0,0.881451,2,0
A2235,3,1.03176e+007,36579,4.66667,0,1.3791,2,0
A195,1,1482,15965,7,0,1,2,0
A1546,16,6.47288e+006,37948,4.9375,0.00833333,2.44108,6,1
A100,3,249300,29181,7.66667,0,0.488232,2,0
A1520,4,152075,27461,4,0,0.726515,2,0
A1501,3,268791,31538,3.33333,0,1.64534,2,0
A356,4,2.02423e+006,33458,3,0,3.75948,4,0
A2270,3,183861,33963,7,0,2.40647,4,0
A757,1,35233,15823,4,0,1.29028,2,0
A553,1,64696,16166,2,0,0.50978,2,0
A1764,2,182331,24065,4,0,1,2,0
A2149,7,8967,38716,5.28571,0,0.867578,2,0
A2026,5,7.56129e+006,34558,3.4,0,0.406483,2,0
A1072,5,1.03137e+007,35936,4.4,0,1.46452,2,0
A1806,3,18956,37146,3.66667,0,2.16132,4,0
A1214,3,9.35473e+006,31677,6.33333,0,1.53914,2,0
A2471,2,6.44193e+006,33823,2,0,2.54223,4,0
A624,2,5.45102e+006,27836,4.5,0,0.658847,2,0
A2203,4,2053,38623,2.5,0,0.742255,2,0
A1627,3,157250,37153,4,0,0.892352,2,0
A754,2,113983,18392,3,0,0.615044,2,0
A1465,6,299562,35238,3.33333,0,0.472192,2,0
A1739,1,77499,24313,9,0,0.233944,2,0
A1672,4,168865,31945,3.75,0,2.10729,4,0
A954,3,8.53106e+006,27051,6.33333,0,0.728137,2,0
A869,2,3039,39722,3.5,0,0.513764,2,0
A832,2,40699,23988,2,0,2.06181,4,0
A890,5,394607,36765,3,0,4.62029,6,1
A2030,1,53254,15525,7,0,0.638238,2,0
A431,2,2.19847e+006,38057,2.5,0,1.08708,2,0
A984,5,84076,34693,3,0,1.13641,2,0
A2279,3,88578,37297,4.33333,0,0.46395,2,0
A1959,1,55546,15462,7,0,0.566468,2,0
A1750,10,2.77006e+007,20176,2.5,0,2.14706,4,0
A2312,2,9.93498e+006,23656,3,0,0.82382,2,0
A1738,4,223566,18787,4.75,0,2.8313,4,0
A2492,1,20814,15335,6,0,0.391062,2,0
A2213,3,4.83511e+006,23545,7,0,0.482321,2,0
A299,3,227125,25608,4.33333,0,1.3633,2,0
A655,7,1.7935e+007,39966,5,0,0.60526,4,0
A1412,5,5.87951e+006,31843,3.2,0,1.14616,2,0
A1445,5,758372,39145,6,0,0.639141,2,0
A1410,1,18719,15130,5,0,0.835853,2,0
A725,4,190182,38119,2.75,0,0.345149,2,0
A1920,1,1784,18183,3,0,0.513676,2,0
A1607,14,285772,38073,3.42857,0,2.25635,4,0
A2044,6,4.21596e+006,33463,3.33333,0,1.00259,2,0
A131,1,10873,15055,5,0,0.814583,2,0
A2261,7,2.23785e+007,35906,5.14286,0,1.54211,4,0
A317,3,5.99714e+006,34216,3.33333,0,1.32276,2,0
A2174,4,7.24754e+006,23846,3,0,1.76139,2,0
A2480,3,91204,31758,6,0,0.885703,2,0
A1218,3,2720,23888,2.66667,0,0.677904,2,0
A1163,8,1.82968e+007,25497,5.5,0,1.39284,4,0
A456,3,3.1191e+006,21193,4,0,0.753241,2,0
A2132,2,3.96179e+006,34301,5.5,0,0.388685,2,0
A67,2,41029,30433,4.5,0,1.64115,2,0
A639,2,5.51026e+006,32893,7,0,0.657024,2,0
A450,2,169528,23450,2,0,0.626157,2,0
A17,3,75099,23621,6,0,1.00311,2,0
A95,5,6.63058e+006,39056,4.8,0,0.526364,2,0
A1004,2,98826,32910,7.5,0,0.54416,2,0
A1328,5,141804,34328,3.4,0,1.42877,2,0
A1759,3,194302,35652,1,0,1.87803,2,0
A1388,2,22684,28355,5.5,0,0.248413,2,0
A951,3,160635,35583,3,0,0.737806,2,0
A2320,1,320432,14626,3,0,1.95292,2,0
A566,3,114848,20735,3.66667,0,0.675604,2,0
A10,2,2.47241e+006,32313,5,0,0.707447,2,0
A528,5,5.62521e+006,30112,3.8,0,1.67897,2,0
A352,3,82777,36198,3.33333,0,0.620058,2,0
A1298,3,26746,33533,4,0,1.34043,2,0
A1976,12,164328,40195,2.08333,0,0.895663,2,0
A1005,2,7.31547e+006,27056,4,0,0.517905,2,0
A1657,11,161432,36055,4.27273,0,0.940037,2,0
A1094,3,4.91086e+006,29779,5.33333,0,2.52223,4,0
A55,2,116319,37675,2.5,0,1.57271,2,0
A1861,7,8.56308e+006,36100,6.28571,0,1.32638,2,0
A2486,5,3.65794e+006,34543,3.8,0,0.57236,2,0
A163,1,7.59067e+006,14346,6,0,0.202682,2,0
A1916,2,3.51532e+006,37464,5,0,1.35878,2,0
A2221,3,134989,33528,3,0,1.33824,2,0
A1296,2,57059,26310,4.5,0,0.98889,2,0
A2442,1,15900,14382,1,0,1.14452,2,0
A2373,4,6.69289e+006,33177,3,0,1.04509,2,0
A1901,2,93756,36035,5,0,0.960828,2,0
A124,3,83170,30255,5,0,1,2,0
A2275,4,45126,37599,7.5,0,1.78618,2,0
A2370,3,1.63924e+007,32942,5,0,1.8951,2,0
A125,1,4.66378e+006,14200,4,0,0.774603,2,0
A172,6,1.4632e+007,32849,4.66667,0,1.31914,4,0
A1766,3,4.42366e+006,32734,8.33333,0,0.77617,2,0
A2156,4,7.29959e+006,24730,4.25,0,2.27978,6,1
A1915,2,25286,26793,2.5,0,0.983729,2,0
A1181,2,89609,37203,3,0,1,2,0
A685,2,21871,34782,2,0,0.552889,2,0
A1821,5,1.59432e+007,27583,3,0,1.2241,2,0
A1939,3,9.35673e+006,29694,3.33333,0,1.53432,2,0
A695,5,1.796e+007,23120,4.8,0,0.555483,2,0
A26,5,8.73986e+006,32036,4.6,0,1.12015,2,0
A1772,3,51723,34649,5,0,2.36141,6,1
A107,4,309959,39531,2.75,0,1.11597,2,0
A875,1,1000,14019,12,0,0.981571,3,0
A1345,5,453848,37002,3.8,0,0.224539,2,0
A1659,4,138695,33055,4.25,0,0.548245,2,0
A1497,4,52634,37506,3,0,0.736161,2,0
A2344,5,246873,31960,4.4,0,0.503514,2,0
A1534,2,3.43009e+006,16527,2,0,0.477442,2,0
A5,1,1000,14231,5,0,0.716423,2,0
A1496,3,2.78286e+006,32066,1.66667,0,0.605181,2,0
A537,3,3.47056e+006,40157,2.66667,0,0.881669,2,0
A1727,2,6.82461e+006,35804,1.5,0,1,2,0
A2028,5,209584,30783,4.2,0,0.613191,2,0
A1425,6,8.27048e+006,35538,2.5,0,0.772933,2,0
A930,0,0,0,0,0,0.57851,2,0
A923,3,2.3459e+006,33086,3.33333,0,0.599763,2,0
A1885,8,4.82741e+006,39968,4.5,0,1.88507,2,0
A136,3,2.90867e+006,31516,4,0,0.853147,2,0
A268,4,4.87271e+006,39305,3.75,0,0.736231,2,0
A605,11,2.52291e+006,27327,2.54545,0,2.76197,4,0
A1250,1,31955,4566,4,0,1.30062,2,0
A830,6,2.01368e+007,30009,3.33333,0,0.537097,2,0
A1882,1,2.55064e+006,19300,5,0,0.544299,2,0
A2348,2,74986,18418,4,0,2.12444,4,0
A794,1,1058,4508,2,0,0.399873,2,0
A1208,4,2.36617e+006,31750,4.5,0,0.730752,2,0
A1623,4,147215,24643,3.25,0,0.69171,2,0
A1468,2,141488,30937,3,0,0.932778,2,0
A2212,4,2.19932e+006,31104,3.75,0,1.09674,2,0
A1884,4,7.91424e+006,24231,3,0,1,2,0
A1176,5,2.03976e+006,35577,3.8,0,0.727744,2,0
A1304,13,428072,27144,3.92308,0,1.25853,2,0
A1000,3,9.40044e+006,36936,2.33333,0,0.822544,2,0
A1641,1,80980,17283,1,0,0.323697,2,0
A1166,5,4.76255e+006,25410,3.8,0,1.25436,2,0
A2110,3,1.46258e+006,31636,3,0,0.815353,2,0
A584,11,150970,7506,3.63636,0,0.181928,2,0
A398,1,7.7421e+006,31896,6,0,0.745934,2,0
