timestamp,sender,receiver,amount,count,total,avg,velocity,unique_devices,degree_s,degree_r,risk_s,risk_r,label
246,A2358,A797,94563,1,94563,94563,0,1,1,0,0,0,0
253,A2122,A1903,7148,1,7148,7148,0,1,1,0,0,0,0
256,A2176,A2290,78304,1,78304,78304,0,1,1,0,0,0,0
264,A1945,A1844,34264,1,34264,34264,0,1,1,0,0,0,0
268,A318,A1171,31129,1,31129,31129,0,1,1,0,0,0,0
272,A626,A877,9143,1,9143,9143,0,1,1,0,0,0,0
280,A848,A1721,51760,1,51760,51760,0,1,1,0,0,0,0
281,A1224,A1598,55154,1,55154,55154,0,1,1,0,0,0,0
286,A119,A1593,44798,1,44798,44798,0,1,1,0,0,0,0
296,A112,A344,84367,1,84367,84367,0,1,1,0,0,0,0
297,A1341,A867,60111,1,60111,60111,0,1,1,0,0,0,0
299,A2210,A214,46175,1,46175,46175,0,1,1,0,0,0,0
303,A84,A625,31641,1,31641,31641,0,1,1,0,0,0,0
308,A688,A2482,79867,1,79867,79867,0,1,1,0,0,0,0
318,A2359,A813,1.27511e+006,1,1.27511e+006,1.27511e+006,0,1,1,0,0,0,1
323,A2460,A496,74388,1,74388,74388,0,1,1,0,0,0,0
329,A2008,A433,1000,1,1000,1000,0,1,1,0,0,0,1
330,A433,A1776,1000,1,1000,1000,0,1,1,0,2,0,1
331,A1776,A1484,1000,1,1000,1000,0,1,1,0,2,0,1
332,A1484,A2008,1000,1,1000,1000,0,1,1,1,2,2,1
337,A1784,A722,96619,1,96619,96619,0,1,1,0,0,0,0
344,A2427,A1100,42705,1,42705,42705,0,1,1,0,0,0,0
354,A1378,A118,65504,1,65504,65504,0,1,1,0,0,0,0
360,A1395,A1146,78509,1,78509,78509,0,1,1,0,0,0,0
367,A985,A1951,85145,1,85145,85145,0,1,1,0,0,0,0
372,A997,A1255,87283,1,87283,87283,0,1,1,0,0,0,0
381,A1859,A1110,40730,1,40730,40730,0,1,1,0,0,0,0
385,A2195,A759,25560,1,25560,25560,0,1,1,0,0,0,0
389,A1479,A735,40381,1,40381,40381,0,1,1,0,0,0,0
390,A518,A2011,13734,1,13734,13734,0,1,1,0,0,0,0
395,A1957,A468,9105,1,9105,9105,0,1,1,0,0,0,0
396,A2306,A1245,11470,1,11470,11470,0,1,1,0,0,0,0
403,A1814,A1218,77564,1,77564,77564,0,1,1,0,0,0,0
405,A852,A865,35203,1,35203,35203,0,1,1,0,0,0,0
412,A2433,A1925,38927,1,38927,38927,0,1,1,0,0,0,0
417,A1860,A292,90661,1,90661,90661,0,1,1,0,0,0,0
419,A611,A1089,18870,1,18870,18870,0,1,1,0,0,0,0
429,A2332,A1183,57943,1,57943,57943,0,1,1,0,0,0,0
438,A330,A2450,5436,1,5436,5436,0,1,1,0,0,0,0
440,A2357,A2405,3229,1,3229,3229,0,1,1,0,0,0,0
443,A1786,A2015,12335,1,12335,12335,0,1,1,0,0,0,0
449,A659,A1351,54349,1,54349,54349,0,1,1,0,0,0,0
451,A1325,A475,53303,1,53303,53303,0,1,1,0,0,0,0
452,A1482,A2042,82545,1,82545,82545,0,1,2,0,2,0,0
460,A981,A649,5.21362e+006,1,5.21362e+006,5.21362e+006,0,1,1,0,0,0,1
461,A981,A2263,6.84505e+006,1,6.84505e+006,6.84505e+006,0,1,2,0,0,0,1
462,A981,A465,7.74191e+006,1,7.74191e+006,7.74191e+006,0,1,3,0,0,0,1
463,A981,A2042,4.89672e+006,1,4.89672e+006,4.89672e+006,0,1,4,0,2,0,1
467,A1935,A999,60612,1,60612,60612,0,1,1,0,0,0,0
477,A560,A286,36926,1,36926,36926,0,1,1,0,0,0,0
482,A2376,A2006,86217,1,86217,86217,0,1,2,0,0,0,0
491,A1362,A2261,72096,1,72096,72096,0,1,1,0,0,0,0
498,A1683,A179,42038,1,42038,42038,0,1,1,0,0,0,0
501,A152,A518,66487,1,66487,66487,0,1,1,1,0,0,0
504,A633,A307,61883,1,61883,61883,0,1,1,0,0,0,0
506,A2186,A1557,41896,1,41896,41896,0,1,1,0,0,0,0
508,A404,A412,58554,1,58554,58554,0,1,1,0,0,0,0
514,A1202,A1469,49638,1,49638,49638,0,1,1,0,0,0,0
517,A987,A2039,1000,1,1000,1000,0,1,2,0,2,0,1
518,A2039,A2389,1000,1,1000,1000,0,1,1,0,2,0,1
519,A2389,A587,1000,1,1000,1000,0,1,1,0,2,0,1
520,A587,A987,1000,1,1000,1000,0,1,1,2,2,2,1
521,A1041,A1883,34171,1,34171,34171,0,1,1,0,0,0,0
530,A1810,A1416,77433,1,77433,77433,0,1,1,0,0,0,0
537,A437,A972,50280,1,50280,50280,0,1,1,0,0,0,0
542,A1125,A34,1000,1,1000,1000,0,1,1,0,2,0,1
543,A34,A2319,1000,1,1000,1000,0,1,1,0,2,0,1
544,A2319,A201,1000,1,1000,1000,0,1,1,0,2,0,1
545,A201,A1125,1000,1,1000,1000,0,1,1,1,2,2,1
552,A1173,A943,79886,1,79886,79886,0,1,1,0,0,0,0
554,A162,A1266,58068,1,58068,58068,0,1,1,0,0,0,0
559,A1702,A720,26383,1,26383,26383,0,1,1,0,0,0,0
567,A1209,A1388,15509,1,15509,15509,0,1,1,0,0,0,0
574,A2283,A1499,12326,1,12326,12326,0,1,1,0,0,0,0
579,A1522,A444,89054,1,89054,89054,0,1,1,0,0,0,0
588,A2499,A907,85531,1,85531,85531,0,1,1,0,0,0,0
591,A2018,A476,1077,1,1077,1077,0,1,1,0,0,0,1
592,A476,A399,1077,1,1077,1077,0,1,1,0,0,0,1
593,A399,A962,1077,1,1077,1077,0,1,1,0,0,0,1
594,A962,A2202,1077,1,1077,1077,0,1,1,0,0,0,1
595,A2202,A2018,1077,1,1077,1077,0,1,1,1,0,0,1
601,A633,A1700,61945,1,61945,61945,0,1,2,0,0,0,0
611,A1146,A135,90516,1,90516,90516,0,1,1,0,0,0,0
617,A1470,A249,52854,1,52854,52854,0,1,1,0,0,0,0
619,A2446,A88,7479,1,7479,7479,0,1,1,0,0,0,0
628,A885,A955,43539,1,43539,43539,0,1,1,0,0,0,0
631,A715,A451,87497,1,87497,87497,0,1,1,0,0,0,0
637,A215,A261,7.99018e+006,1,7.99018e+006,7.99018e+006,0,1,1,0,0,0,1
646,A1852,A2064,29570,1,29570,29570,0,1,1,0,0,0,0
647,A1747,A1646,1.8114e+006,1,1.8114e+006,1.8114e+006,0,1,1,0,0,0,1
648,A1817,A1646,1.23307e+006,1,1.23307e+006,1.23307e+006,0,1,1,0,0,0,1
649,A1320,A1646,2.48873e+006,1,2.48873e+006,2.48873e+006,0,1,1,0,0,0,1
650,A517,A1646,4.6141e+006,1,4.6141e+006,4.6141e+006,0,1,1,0,0,0,1
651,A2247,A1646,5.45581e+006,1,5.45581e+006,5.45581e+006,0,1,1,0,0,0,1
657,A1859,A2071,40616,1,40616,40616,0,1,2,0,0,0,0
666,A881,A1762,59629,1,59629,59629,0,1,1,0,0,0,0
673,A390,A1281,56354,1,56354,56354,0,1,1,0,0,0,0
675,A382,A1769,13237,1,13237,13237,0,1,1,0,0,0,0
684,A501,A1683,47111,1,47111,47111,0,1,1,1,0,0,0
694,A634,A1976,29838,1,29838,29838,0,1,1,0,0,0,0
699,A1758,A2298,81763,1,81763,81763,0,1,1,0,0,0,0
702,A1266,A1392,46323,1,46323,46323,0,1,1,0,0,0,0
709,A2173,A882,1659,1,1659,1659,0,1,1,0,0,0,1
710,A882,A1541,1659,1,1659,1659,0,1,1,0,0,0,1
711,A1541,A2173,1659,1,1659,1659,0,1,1,1,0,0,1
715,A1329,A2325,78835,1,78835,78835,0,1,1,0,0,0,0
717,A1737,A1990,80347,1,80347,80347,0,1,1,0,0,0,0
726,A455,A1161,1000,1,1000,1000,0,1,1,0,2,0,1
727,A1161,A2430,1000,1,1000,1000,0,1,1,0,2,0,1
728,A2430,A1994,1000,1,1000,1000,0,1,1,0,2,0,1
729,A1994,A455,1000,1,1000,1000,0,1,1,1,2,2,1
735,A187,A904,52443,1,52443,52443,0,1,1,0,0,0,0
740,A32,A2038,98874,1,98874,98874,0,1,1,0,0,0,0
749,A2050,A2289,87799,1,87799,87799,0,1,1,0,0,0,0
757,A1283,A2359,56965,1,56965,56965,0,1,1,1,0,0,0
759,A1331,A704,81846,1,81846,81846,0,1,1,0,0,0,0
769,A323,A1622,41370,1,41370,41370,0,1,2,0,2,0,0
771,A468,A2174,67040,1,67040,67040,0,1,1,0,0,0,0
773,A711,A726,8.29001e+006,1,8.29001e+006,8.29001e+006,0,1,1,0,0,0,1
783,A1839,A2313,85183,1,85183,85183,0,1,1,0,0,0,0
785,A1241,A1126,77845,1,77845,77845,0,1,1,0,0,0,0
786,A1176,A315,84989,1,84989,84989,0,1,1,0,0,0,0
795,A169,A1843,75241,1,75241,75241,0,1,1,0,0,0,0
797,A1407,A346,66487,1,66487,66487,0,1,1,0,0,0,0
805,A2147,A2142,80314,1,80314,80314,0,1,1,0,0,0,0
815,A1351,A388,9.36117e+006,1,9.36117e+006,9.36117e+006,0,1,1,0,2,0,1
816,A1584,A1164,4.22789e+006,1,4.22789e+006,4.22789e+006,0,1,1,0,2,0,1
817,A2469,A616,5.59299e+006,1,5.59299e+006,5.59299e+006,0,1,1,0,2,0,1
818,A334,A2387,2.37287e+006,1,2.37287e+006,2.37287e+006,0,1,1,0,2,0,1
819,A1433,A1271,6.57606e+006,1,6.57606e+006,6.57606e+006,0,1,1,0,2,0,1
818,A348,A1269,73875,1,73875,73875,0,1,1,0,0,0,0
827,A2083,A1483,1000,1,1000,1000,0,1,1,0,2,0,1
828,A1483,A75,1000,1,1000,1000,0,1,1,0,2,0,1
829,A75,A1486,1000,1,1000,1000,0,1,1,0,2,0,1
830,A1486,A2083,1000,1,1000,1000,0,1,1,1,2,2,1
832,A878,A1400,64352,1,64352,64352,0,1,1,0,0,0,0
841,A2157,A155,87259,1,87259,87259,0,1,1,0,0,0,0
844,A679,A1793,6160,1,6160,6160,0,1,1,0,0,0,0
849,A1839,A959,84646,1,84646,84646,0,1,2,0,0,0,0
857,A795,A1507,89248,1,89248,89248,0,1,1,0,0,0,0
866,A664,A818,79792,1,79792,79792,0,1,1,0,0,0,0
874,A2272,A421,93669,1,93669,93669,0,1,1,0,0,0,0
883,A376,A910,1000,1,1000,1000,0,1,1,0,2,0,1
884,A910,A1848,1000,1,1000,1000,0,1,1,0,2,0,1
885,A1848,A1432,1000,1,1000,1000,0,1,1,0,2,0,1
886,A1432,A376,1000,1,1000,1000,0,1,1,1,2,2,1
884,A1624,A2057,49846,1,49846,49846,0,1,1,0,0,0,0
888,A1374,A1936,1925,1,1925,1925,0,1,1,0,0,0,1
889,A1374,A1922,1418,1,1418,1418,0,1,2,0,0,0,1
890,A1374,A325,538,1,538,538,0,1,3,0,0,0,1
891,A1374,A884,806,1,806,806,0,1,4,0,0,0,1
892,A1374,A2494,1580,1,1580,1580,0,1,5,0,2,0,1
893,A1374,A456,1090,1,1090,1090,0,1,6,0,2,0,1
894,A1374,A1234,749,1,749,749,0,1,7,0,2,0,1
895,A1374,A977,1359,1,1359,1359,0,1,8,0,2,0,1
896,A1374,A258,727,1,727,727,0,1,9,0,2,0,1
898,A2111,A2356,31961,1,31961,31961,0,1,1,0,0,0,0
905,A351,A2145,47883,1,47883,47883,0,1,1,0,0,0,0
906,A1530,A1039,98496,1,98496,98496,0,1,1,0,0,0,0
912,A1387,A718,7.79518e+006,1,7.79518e+006,7.79518e+006,0,1,1,0,0,0,1
913,A1961,A747,2.26255e+006,1,2.26255e+006,2.26255e+006,0,1,1,0,0,0,1
914,A259,A1875,620585,1,620585,620585,0,1,1,0,0,0,1
915,A1202,A826,735047,1,735047,735047,0,1,2,0,0,0,1
916,A818,A172,5.29492e+006,1,5.29492e+006,5.29492e+006,0,1,1,0,2,0,1
917,A2225,A1940,33523,1,33523,33523,0,1,1,0,0,0,0
918,A1360,A1120,17068,1,17068,17068,0,1,1,0,0,0,0
921,A2038,A1505,68350,1,68350,68350,0,1,1,0,0,0,0
928,A740,A2235,39261,1,39261,39261,0,1,1,0,0,0,0
938,A683,A1819,46718,1,46718,46718,0,1,1,0,0,0,0
945,A235,A308,88141,1,88141,88141,0,1,1,0,0,0,0
948,A1795,A143,17017,1,17017,17017,0,1,1,0,0,0,0
955,A133,A2479,20375,1,20375,20375,0,1,1,0,0,0,0
961,A1142,A1023,37329,1,37329,37329,0,1,2,0,0,0,0
964,A1586,A2301,15895,1,15895,15895,0,1,1,0,0,0,0
972,A556,A304,59616,1,59616,59616,0,1,1,0,0,0,0
978,A266,A2253,71750,1,71750,71750,0,1,1,0,0,0,0
987,A824,A569,31275,1,31275,31275,0,1,1,0,0,0,0
997,A2260,A532,80421,1,80421,80421,0,1,1,0,0,0,0
1004,A2355,A303,17662,1,17662,17662,0,1,1,0,0,0,0
1013,A2259,A2408,23947,1,23947,23947,0,1,1,0,0,0,0
1016,A664,A1322,79746,1,79746,79746,0,1,2,0,0,0,0
1025,A324,A1027,26348,1,26348,26348,0,1,1,0,0,0,0
1028,A2379,A632,23059,1,23059,23059,0,1,1,0,0,0,0
1029,A2363,A1085,85807,1,85807,85807,0,1,1,0,0,0,0
1034,A1664,A1219,59912,1,59912,59912,0,1,1,0,0,0,0
1041,A836,A1394,80129,1,80129,80129,0,1,1,0,0,0,0
1044,A2110,A2301,14282,1,14282,14282,0,1,1,0,0,0,0
1049,A578,A397,7268,1,7268,7268,0,1,1,0,0,0,0
1059,A778,A653,65651,1,65651,65651,0,1,1,0,0,0,0
1067,A2071,A1873,1000,1,1000,1000,0,1,1,0,2,0,1
1068,A1873,A987,1000,1,1000,1000,0,1,1,2,2,2,1
1069,A987,A882,1000,1,1000,1000,0,1,3,1,2,0,1
1070,A882,A2071,1000,1,1000,1000,0,1,2,1,2,2,1
1077,A208,A1153,64988,1,64988,64988,0,1,1,0,0,0,0
1082,A1652,A1499,6341,1,6341,6341,0,1,1,0,0,0,0
1091,A1583,A2066,59655,1,59655,59655,0,1,1,0,0,0,0
1093,A1389,A2285,48171,1,48171,48171,0,1,1,0,0,0,0
1094,A1365,A611,1.25188e+006,1,1.25188e+006,1.25188e+006,0,1,1,1,0,0,1
1100,A1305,A666,51766,1,51766,51766,0,1,1,0,0,0,0
1110,A69,A1509,43905,1,43905,43905,0,1,1,0,0,0,0
1111,A1088,A2370,76105,1,76105,76105,0,1,1,0,0,0,0
1115,A782,A621,1345,1,1345,1345,0,1,1,0,0,0,1
1116,A782,A1681,1527,1,1527,1527,0,1,2,0,0,0,1
1117,A782,A256,1945,1,1945,1945,0,1,3,0,0,0,1
1118,A782,A2125,924,1,924,924,0,1,4,0,0,0,1
1119,A782,A1332,1856,1,1856,1856,0,1,5,0,2,0,1
1120,A782,A2153,1271,1,1271,1271,0,1,6,0,2,0,1
1121,A782,A710,1441,1,1441,1441,0,1,7,0,2,0,1
1122,A782,A1403,1618,1,1618,1618,0,1,8,0,2,0,1
1123,A782,A1083,1749,1,1749,1749,0,1,9,0,2,0,1
1124,A782,A788,1004,1,1004,1004,0,1,10,0,2,0,1
1125,A782,A2286,1111,1,1111,1111,0,1,11,0,0,0,1
1120,A850,A2003,41993,1,41993,41993,0,1,1,0,0,0,0
1122,A2225,A1556,33860,1,33860,33860,0,1,2,0,0,0,0
1127,A1419,A828,1603,1,1603,1603,0,1,1,0,0,0,1
1128,A1419,A2303,1925,1,1925,1925,0,1,2,0,0,0,1
1129,A1419,A563,723,1,723,723,0,1,3,0,0,0,1
1130,A1419,A994,603,1,603,603,0,1,4,0,0,0,1
1131,A1419,A925,1806,1,1806,1806,0,1,5,0,2,0,1
1132,A1419,A216,705,1,705,705,0,1,6,0,2,0,1
1133,A1419,A1353,1969,1,1969,1969,0,1,7,0,2,0,1
1134,A1419,A412,1895,1,1895,1895,0,1,8,0,2,0,1
1128,A647,A1667,85952,1,85952,85952,0,1,1,0,0,0,0
1134,A243,A367,85685,1,85685,85685,0,1,1,0,0,0,0
1141,A721,A149,52463,1,52463,52463,0,1,1,0,0,0,0
1142,A2469,A440,44663,1,44663,44663,0,1,2,0,2,0,0
1151,A790,A462,43825,1,43825,43825,0,1,1,0,0,0,0
1154,A2326,A792,2.94442e+006,1,2.94442e+006,2.94442e+006,0,1,1,0,0,0,1
1155,A1661,A1752,8.64507e+006,1,8.64507e+006,8.64507e+006,0,1,1,1,0,0,1
1156,A1344,A356,6.72496e+006,1,6.72496e+006,6.72496e+006,0,1,1,0,0,0,1
1157,A391,A757,2.35918e+006,1,2.35918e+006,2.35918e+006,0,1,1,0,2,0,1
1158,A1956,A1326,4.16164e+006,1,4.16164e+006,4.16164e+006,0,1,1,0,2,0,1
1155,A965,A1830,99193,1,99193,99193,0,1,1,0,0,0,0
1161,A255,A485,61803,1,61803,61803,0,1,1,0,0,0,0
1170,A1274,A481,84111,1,84111,84111,0,1,1,0,0,0,0
1173,A2482,A1531,54912,1,54912,54912,0,1,1,0,0,0,0
1183,A336,A2153,59283,1,59283,59283,0,1,1,0,0,0,0
1192,A2199,A614,22187,1,22187,22187,0,1,1,0,0,0,0
1196,A2003,A373,67165,1,67165,67165,0,1,1,0,0,0,0
1197,A1263,A90,52466,1,52466,52466,0,1,1,0,0,0,0
1199,A2217,A247,1.15805e+006,1,1.15805e+006,1.15805e+006,0,1,1,0,2,0,1
1200,A1934,A130,4.81668e+006,1,4.81668e+006,4.81668e+006,0,1,1,0,2,0,1
1201,A1675,A738,2.27222e+006,1,2.27222e+006,2.27222e+006,0,1,1,0,2,0,1
1202,A1722,A1534,6.41704e+006,1,6.41704e+006,6.41704e+006,0,1,1,0,2,0,1
1203,A1838,A1547,6.30239e+006,1,6.30239e+006,6.30239e+006,0,1,1,0,2,0,1
1201,A2209,A545,86267,1,86267,86267,0,1,2,0,0,0,0
1205,A94,A1223,61409,1,61409,61409,0,1,1,0,0,0,0
1209,A636,A1130,25280,1,25280,25280,0,1,1,0,0,0,0
1213,A138,A1829,816753,1,816753,816753,0,1,1,0,0,0,1
1214,A138,A1648,7.36467e+006,1,7.36467e+006,7.36467e+006,0,1,2,0,0,0,1
1215,A138,A232,2.35118e+006,1,2.35118e+006,2.35118e+006,0,1,3,0,0,0,1
1216,A138,A960,9.66563e+006,1,9.66563e+006,9.66563e+006,0,1,4,0,2,0,1
1217,A587,A2136,29277,1,29277,29277,0,1,2,0,2,0,0
1226,A718,A1750,73825,1,73825,73825,0,1,1,0,0,0,0
1232,A1673,A612,39723,1,39723,39723,0,1,1,0,0,0,0
1236,A592,A1897,8302,1,8302,8302,0,1,1,0,0,0,0
1240,A1353,A324,59402,1,59402,59402,0,1,1,1,0,0,0
1245,A2478,A2470,5772,1,5772,5772,0,1,1,0,0,0,0
1249,A1364,A1242,2258,1,2258,2258,0,1,1,0,0,0,0
1257,A2476,A838,52518,1,52518,52518,0,1,1,0,0,0,0
1262,A2037,A1909,13230,1,13230,13230,0,1,1,0,0,0,0
1268,A2305,A907,97625,1,97625,97625,0,1,1,0,0,0,0
1271,A943,A1556,75649,1,75649,75649,0,1,1,0,0,0,0
1279,A2010,A1888,22710,1,22710,22710,0,1,1,0,0,0,0
1280,A305,A199,1529,1,1529,1529,0,1,1,0,0,0,0
11283,A1868,A1999,5000,1,5000,5000,0,1,1,0,0,0,1
1284,A1685,A49,2531,1,2531,2531,0,1,1,0,0,0,0
1286,A2148,A610,32047,1,32047,32047,0,1,1,0,0,0,0
1293,A1881,A2315,1000,1,1000,1000,0,1,1,0,2,0,1
1294,A2315,A997,1000,1,1000,1000,0,1,1,1,2,0,1
1295,A997,A926,1000,1,1000,1000,0,1,2,0,2,0,1
1296,A926,A1881,1000,1,1000,1000,0,1,1,1,2,2,1
1298,A331,A130,12592,1,12592,12592,0,1,1,0,0,0,0
1301,A1357,A2318,1000,1,1000,1000,0,1,1,0,2,0,1
1302,A2318,A391,1000,1,1000,1000,0,1,1,1,2,2,1
1303,A391,A2164,1000,1,1000,1000,0,1,2,0,2,0,1
1304,A2164,A1357,1000,1,1000,1000,0,1,1,1,2,2,1
1302,A2322,A1948,36190,1,36190,36190,0,1,1,0,0,0,0
1312,A735,A1289,2556,1,2556,2556,0,1,1,0,0,0,0
1317,A985,A2322,84843,1,84843,84843,0,1,2,1,0,0,0
1326,A574,A322,66257,1,66257,66257,0,1,1,0,0,0,0
1336,A2440,A1625,43361,1,43361,43361,0,1,1,0,0,0,0
1340,A1538,A1769,25083,1,25083,25083,0,1,1,0,0,0,0
1342,A1557,A1298,1.8756e+006,1,1.8756e+006,1.8756e+006,0,1,1,0,0,0,1
1344,A1822,A543,1.4647e+006,1,1.4647e+006,1.4647e+006,0,1,1,0,0,0,1
1352,A2099,A1672,14180,1,14180,14180,0,1,1,0,0,0,0
1354,A1329,A1578,78854,1,78854,78854,0,1,2,0,0,0,0
1363,A995,A2343,68818,1,68818,68818,0,1,1,0,0,0,0
1368,A2020,A598,8764,1,8764,8764,0,1,1,0,0,0,0
1373,A2031,A2433,81494,1,81494,81494,0,1,1,1,0,0,0
1378,A1361,A1557,1000,1,1000,1000,0,1,1,1,2,0,1
1379,A1557,A1350,1000,1,1000,1000,0,1,2,0,2,0,1
1380,A1350,A1804,1000,1,1000,1000,0,1,1,0,2,0,1
1381,A1804,A1361,1000,1,1000,1000,0,1,1,1,2,2,1
1384,A2435,A558,39754,1,39754,39754,0,1,1,0,0,0,0
1389,A2012,A2359,32291,1,32291,32291,0,1,1,1,0,0,0
1395,A819,A2426,9.15424e+006,1,9.15424e+006,9.15424e+006,0,1,1,0,0,0,1
1396,A819,A1891,3.51742e+006,1,3.51742e+006,3.51742e+006,0,1,2,0,0,0,1
1397,A819,A284,6.86436e+006,1,6.86436e+006,6.86436e+006,0,1,3,0,0,0,1
1398,A819,A1241,4.06054e+006,1,4.06054e+006,4.06054e+006,0,1,4,1,0,0,1
1402,A303,A1840,78429,1,78429,78429,0,1,1,0,0,0,0
1403,A1473,A2200,78235,1,78235,78235,0,1,1,0,0,0,0
1409,A182,A2307,85252,1,85252,85252,0,1,1,1,0,0,0
1414,A2125,A2286,76543,1,76543,76543,0,1,1,0,0,0,0
1421,A2411,A2050,20091,1,20091,20091,0,1,1,1,0,0,0
1424,A1406,A1866,27632,1,27632,27632,0,1,1,0,0,0,0
1426,A1854,A1307,9340,1,9340,9340,0,1,1,0,0,0,0
1428,A674,A1000,68040,1,68040,68040,0,1,1,0,0,0,0
1435,A950,A1660,82907,1,82907,82907,0,1,1,0,0,0,0
1445,A1842,A2426,56637,1,56637,56637,0,1,1,0,0,0,0
1450,A257,A2365,13747,1,13747,13747,0,1,1,0,0,0,0
1458,A1284,A2446,51537,1,51537,51537,0,1,1,1,0,0,0
1466,A1219,A2418,11734,1,11734,11734,0,1,1,0,0,0,0
1469,A1714,A2443,18685,1,18685,18685,0,1,1,0,0,0,0
1477,A710,A2273,22481,1,22481,22481,0,1,1,0,0,0,0
1478,A40,A1985,18529,1,18529,18529,0,1,1,0,0,0,0
1486,A1819,A2002,22462,1,22462,22462,0,1,1,0,0,0,0
1490,A689,A1874,74504,1,74504,74504,0,1,1,0,0,0,0
