tx_id,sender,receiver,amount,timestamp,device_id,location,tx_type,status,label
111,A981,A2042,4896724,463,D261,Singapore,transfer,success,1
112,A1935,A999,60612,467,D283,Bangalore,transfer,success,0
113,A560,A286,36926,477,D213,London,payment,success,0
114,A2376,A2006,86217,482,D165,Ladakh,payment,success,0
115,A1362,A2261,72096,491,D194,Ladakh,withdrawal,success,0
116,A1683,A179,42038,498,D243,Pakistan,withdrawal,success,0
117,A152,A518,66487,501,D170,Mumbai,transfer,success,0
118,A633,A307,61883,504,D136,London,withdrawal,success,0
119,A2186,A1557,41896,506,D250,Delhi,transfer,success,0
120,A404,A412,58554,508,D86,Singapore,transfer,success,0
121,A1202,A1469,49638,514,D221,Bangalore,transfer,success,0
122,A987,A2039,1000,517,D_SHARED_1,Dubai,transfer,success,1
123,A2039,A2389,1000,518,D_SHARED_1,Dubai,transfer,success,1
124,A2389,A587,1000,519,D_SHARED_1,Dubai,transfer,success,1
125,A587,A987,1000,520,D_SHARED_1,Dubai,transfer,success,1
126,A1041,A1883,34171,521,D5,Ladakh,withdrawal,success,0
127,A1810,A1416,77433,530,D154,Pakistan,transfer,success,0
128,A437,A972,50280,537,D293,London,withdrawal,success,0
129,A1125,A34,1000,542,D_SHARED_1,Dubai,transfer,success,1
130,A34,A2319,1000,543,D_SHARED_1,Dubai,transfer,success,1
131,A2319,A201,1000,544,D_SHARED_1,Dubai,transfer,success,1
132,A201,A1125,1000,545,D_SHARED_1,Dubai,transfer,success,1
133,A1173,A943,79886,552,D181,Dubai,withdrawal,success,0
134,A162,A1266,58068,554,D18,London,transfer,success,0
135,A1702,A720,26383,559,D68,London,payment,success,0
136,A1209,A1388,15509,567,D240,Mumbai,transfer,success,0
137,A2283,A1499,12326,574,D203,Delhi,withdrawal,success,0
138,A1522,A444,89054,579,D120,Ladakh,withdrawal,success,0
139,A2499,A907,85531,588,D33,Ladakh,transfer,success,0
140,A2018,A476,1077,591,D_SHARED_4,Dubai,transfer,success,1
141,A476,A399,1077,592,D_SHARED_4,Dubai,transfer,success,1
142,A399,A962,1077,593,D_SHARED_3,Dubai,transfer,success,1
143,A962,A2202,1077,594,D_SHARED_5,Dubai,transfer,success,1
144,A2202,A2018,1077,595,D_SHARED_4,Dubai,transfer,success,1
145,A633,A1700,61945,601,D136,London,payment,success,0
146,A1146,A135,90516,611,D190,Dubai,transfer,success,0
147,A1470,A249,52854,617,D142,Dubai,payment,success,0
148,A2446,A88,7479,619,D171,Dubai,transfer,success,0
149,A885,A955,43539,628,D76,Delhi,transfer,success,0
150,A715,A451,87497,631,D14,Bangalore,withdrawal,success,0
151,A215,A261,7990181,637,D230,London,transfer,success,1
152,A1852,A2064,29570,646,D23,Singapore,withdrawal,success,0
153,A1747,A1646,1811398,647,D252,Dubai,transfer,success,1
154,A1817,A1646,1233069,648,D42,Dubai,transfer,success,1
155,A1320,A1646,2488728,649,D34,Dubai,transfer,success,1
156,A517,A1646,4614102,650,D300,Dubai,transfer,success,1
157,A2247,A1646,5455806,651,D196,Dubai,transfer,success,1
158,A1859,A2071,40616,657,D129,Dubai,withdrawal,success,0
159,A881,A1762,59629,666,D117,Pakistan,payment,success,0
160,A390,A1281,56354,673,D161,Singapore,transfer,success,0
161,A382,A1769,13237,675,D191,Bangalore,withdrawal,success,0
162,A501,A1683,47111,684,D217,Delhi,transfer,success,0
163,A634,A1976,29838,694,D56,London,transfer,success,0
164,A1758,A2298,81763,699,D286,Delhi,transfer,success,0
165,A1266,A1392,46323,702,D4,Bangalore,withdrawal,success,0
166,A2173,A882,1659,709,D_SHARED_4,Dubai,transfer,success,1
167,A882,A1541,1659,710,D_SHARED_3,Dubai,transfer,success,1
168,A1541,A2173,1659,711,D_SHARED_2,Dubai,transfer,success,1
169,A1329,A2325,78835,715,D44,Delhi,withdrawal,success,0
170,A1737,A1990,80347,717,D227,Pakistan,transfer,success,0
171,A455,A1161,1000,726,D_SHARED_1,Dubai,transfer,success,1
172,A1161,A2430,1000,727,D_SHARED_1,Dubai,transfer,success,1
173,A2430,A1994,1000,728,D_SHARED_1,Dubai,transfer,success,1
174,A1994,A455,1000,729,D_SHARED_1,Dubai,transfer,success,1
175,A187,A904,52443,735,D29,Delhi,payment,success,0
176,A32,A2038,98874,740,D221,Bangalore,payment,success,0
177,A2050,A2289,87799,749,D182,Mumbai,transfer,success,0
178,A1283,A2359,56965,757,D294,Pakistan,payment,success,0
179,A1331,A704,81846,759,D236,London,payment,success,0
180,A323,A1622,41370,769,D174,Dubai,transfer,success,0
181,A468,A2174,67040,771,D100,London,transfer,success,0
182,A711,A726,8290008,773,D238,London,transfer,success,1
183,A1839,A2313,85183,783,D166,London,payment,success,0
184,A1241,A1126,77845,785,D29,London,transfer,success,0
185,A1176,A315,84989,786,D47,Pakistan,withdrawal,success,0
186,A169,A1843,75241,795,D97,London,payment,success,0
187,A1407,A346,66487,797,D89,Delhi,withdrawal,success,0
188,A2147,A2142,80314,805,D82,London,payment,success,0
189,A1351,A388,9361169,815,D_SHARED_1,Dubai,transfer,success,1
190,A1584,A1164,4227887,816,D_SHARED_1,Dubai,transfer,success,1
191,A2469,A616,5592986,817,D_SHARED_1,Dubai,transfer,success,1
192,A334,A2387,2372874,818,D_SHARED_1,Dubai,transfer,success,1
193,A1433,A1271,6576063,819,D_SHARED_1,Dubai,transfer,success,1
194,A348,A1269,73875,818,D193,London,withdrawal,success,0
195,A2083,A1483,1000,827,D_SHARED_1,Dubai,transfer,success,1
196,A1483,A75,1000,828,D_SHARED_1,Dubai,transfer,success,1
197,A75,A1486,1000,829,D_SHARED_1,Dubai,transfer,success,1
198,A1486,A2083,1000,830,D_SHARED_1,Dubai,transfer,success,1
199,A878,A1400,64352,832,D99,Dubai,transfer,success,0
200,A2157,A155,87259,841,D173,Bangalore,transfer,success,0
201,A679,A1793,6160,844,D211,London,withdrawal,success,0
202,A1839,A959,84646,849,D166,London,payment,success,0
203,A795,A1507,89248,857,D293,Ladakh,withdrawal,success,0
204,A664,A818,79792,866,D71,Singapore,withdrawal,success,0
205,A2272,A421,93669,874,D265,Mumbai,payment,success,0
206,A376,A910,1000,883,D_SHARED_1,Dubai,transfer,success,1
207,A910,A1848,1000,884,D_SHARED_1,Dubai,transfer,success,1
208,A1848,A1432,1000,885,D_SHARED_1,Dubai,transfer,success,1
209,A1432,A376,1000,886,D_SHARED_1,Dubai,transfer,success,1
210,A1624,A2057,49846,884,D121,Pakistan,payment,success,0
211,A1374,A1936,1925,888,D72,Singapore,transfer,success,1
212,A1374,A1922,1418,889,D3,Singapore,transfer,success,1
213,A1374,A325,538,890,D132,Singapore,transfer,success,1
214,A1374,A884,806,891,D281,Singapore,transfer,success,1
215,A1374,A2494,1580,892,D217,Singapore,transfer,success,1
216,A1374,A456,1090,893,D122,Singapore,transfer,success,1
217,A1374,A1234,749,894,D25,Singapore,transfer,success,1
218,A1374,A977,1359,895,D235,Singapore,transfer,success,1
219,A1374,A258,727,896,D256,Singapore,transfer,success,1
220,A2111,A2356,31961,898,D74,Singapore,withdrawal,success,0
221,A351,A2145,47883,905,D35,Delhi,payment,success,0
222,A1530,A1039,98496,906,D9,London,withdrawal,success,0
223,A1387,A718,7795178,912,D_SHARED_5,Dubai,transfer,success,1
224,A1961,A747,2262550,913,D_SHARED_5,Dubai,transfer,success,1
225,A259,A1875,620585,914,D_SHARED_5,Dubai,transfer,success,1
226,A1202,A826,735047,915,D_SHARED_5,Dubai,transfer,success,1
227,A818,A172,5294919,916,D_SHARED_5,Dubai,transfer,success,1
228,A2225,A1940,33523,917,D19,Dubai,payment,success,0
229,A1360,A1120,17068,918,D189,Pakistan,payment,success,0
230,A2038,A1505,68350,921,D137,Mumbai,transfer,success,0
231,A740,A2235,39261,928,D165,Mumbai,payment,success,0
232,A683,A1819,46718,938,D229,Delhi,withdrawal,success,0
233,A235,A308,88141,945,D208,London,transfer,success,0
234,A1795,A143,17017,948,D35,Dubai,payment,success,0
235,A133,A2479,20375,955,D231,London,withdrawal,success,0
236,A1142,A1023,37329,961,D180,Pakistan,transfer,success,0
237,A1586,A2301,15895,964,D135,Singapore,withdrawal,success,0
238,A556,A304,59616,972,D89,Ladakh,withdrawal,success,0
239,A266,A2253,71750,978,D149,Singapore,payment,success,0
240,A824,A569,31275,987,D253,Delhi,withdrawal,success,0
241,A2260,A532,80421,997,D45,Mumbai,withdrawal,success,0
242,A2355,A303,17662,1004,D163,Mumbai,payment,success,0
243,A2259,A2408,23947,1013,D67,Pakistan,withdrawal,success,0
244,A664,A1322,79746,1016,D71,Singapore,payment,success,0
245,A324,A1027,26348,1025,D283,Singapore,withdrawal,success,0
246,A2379,A632,23059,1028,D173,Delhi,transfer,success,0
247,A2363,A1085,85807,1029,D108,Pakistan,withdrawal,success,0
248,A1664,A1219,59912,1034,D38,Delhi,payment,success,0
249,A836,A1394,80129,1041,D74,London,payment,success,0
250,A2110,A2301,14282,1044,D164,Dubai,transfer,success,0
251,A578,A397,7268,1049,D149,Pakistan,payment,success,0
252,A778,A653,65651,1059,D264,Ladakh,payment,success,0
253,A2071,A1873,1000,1067,D_SHARED_1,Dubai,transfer,success,1
254,A1873,A987,1000,1068,D_SHARED_1,Dubai,transfer,success,1
255,A987,A882,1000,1069,D_SHARED_1,Dubai,transfer,success,1
256,A882,A2071,1000,1070,D_SHARED_1,Dubai,transfer,success,1
257,A208,A1153,64988,1077,D241,Singapore,transfer,success,0
258,A1652,A1499,6341,1082,D206,Delhi,payment,success,0
259,A1583,A2066,59655,1091,D282,Singapore,transfer,success,0
260,A1389,A2285,48171,1093,D74,Dubai,withdrawal,success,0
261,A1365,A611,1251880,1094,D266,Ladakh,transfer,success,1
262,A1305,A666,51766,1100,D154,London,withdrawal,success,0
263,A69,A1509,43905,1110,D57,Pakistan,withdrawal,success,0
264,A1088,A2370,76105,1111,D117,Delhi,transfer,success,0
265,A782,A621,1345,1115,D105,Singapore,transfer,success,1
266,A782,A1681,1527,1116,D242,Singapore,transfer,success,1
267,A782,A256,1945,1117,D71,Singapore,transfer,success,1
268,A782,A2125,924,1118,D288,Singapore,transfer,success,1
269,A782,A1332,1856,1119,D245,Singapore,transfer,success,1
270,A782,A2153,1271,1120,D161,Singapore,transfer,success,1
271,A782,A710,1441,1121,D273,Singapore,transfer,success,1
272,A782,A1403,1618,1122,D182,Singapore,transfer,success,1
273,A782,A1083,1749,1123,D248,Singapore,transfer,success,1
274,A782,A788,1004,1124,D143,Singapore,transfer,success,1
275,A782,A2286,1111,1125,D116,Singapore,transfer,success,1
276,A850,A2003,41993,1120,D246,London,payment,success,0
277,A2225,A1556,33860,1122,D19,Dubai,transfer,success,0
278,A1419,A828,1603,1127,D139,Singapore,transfer,success,1
279,A1419,A2303,1925,1128,D140,Singapore,transfer,success,1
280,A1419,A563,723,1129,D123,Singapore,transfer,success,1
281,A1419,A994,603,1130,D272,Singapore,transfer,success,1
282,A1419,A925,1806,1131,D120,Singapore,transfer,success,1
283,A1419,A216,705,1132,D212,Singapore,transfer,success,1
284,A1419,A1353,1969,1133,D242,Singapore,transfer,success,1
285,A1419,A412,1895,1134,D71,Singapore,transfer,success,1
286,A647,A1667,85952,1128,D244,Ladakh,payment,success,0
287,A243,A367,85685,1134,D294,Dubai,transfer,success,0
288,A721,A149,52463,1141,D254,Bangalore,transfer,success,0
289,A2469,A440,44663,1142,D146,Ladakh,transfer,success,0
290,A790,A462,43825,1151,D84,Ladakh,withdrawal,success,0
291,A2326,A792,2944416,1154,D_SHARED_3,Dubai,transfer,success,1
292,A1661,A1752,8645074,1155,D_SHARED_3,Dubai,transfer,success,1
293,A1344,A356,6724965,1156,D_SHARED_3,Dubai,transfer,success,1
294,A391,A757,2359175,1157,D_SHARED_3,Dubai,transfer,success,1
295,A1956,A1326,4161639,1158,D_SHARED_3,Dubai,transfer,success,1
296,A965,A1830,99193,1155,D137,London,payment,success,0
297,A255,A485,61803,1161,D158,Bangalore,withdrawal,success,0
298,A1274,A481,84111,1170,D152,London,payment,success,0
299,A2482,A1531,54912,1173,D282,Ladakh,transfer,success,0
300,A336,A2153,59283,1183,D271,London,withdrawal,success,0
301,A2199,A614,22187,1192,D168,Ladakh,withdrawal,success,0
302,A2003,A373,67165,1196,D229,Delhi,withdrawal,success,0
303,A1263,A90,52466,1197,D131,Delhi,withdrawal,success,0
304,A2217,A247,1158049,1199,D_SHARED_1,Dubai,transfer,success,1
305,A1934,A130,4816682,1200,D_SHARED_1,Dubai,transfer,success,1
306,A1675,A738,2272219,1201,D_SHARED_1,Dubai,transfer,success,1
307,A1722,A1534,6417043,1202,D_SHARED_1,Dubai,transfer,success,1
308,A1838,A1547,6302386,1203,D_SHARED_1,Dubai,transfer,success,1
309,A2209,A545,86267,1201,D179,Mumbai,withdrawal,success,0
310,A94,A1223,61409,1205,D279,Pakistan,transfer,success,0
311,A636,A1130,25280,1209,D58,Delhi,transfer,success,0
312,A138,A1829,816753,1213,D126,Delhi,transfer,failed,1
313,A138,A1648,7364673,1214,D120,Dubai,transfer,failed,1
314,A138,A232,2351184,1215,D258,Singapore,transfer,failed,1
315,A138,A960,9665627,1216,D164,London,transfer,success,1
316,A587,A2136,29277,1217,D212,Singapore,transfer,success,0
317,A718,A1750,73825,1226,D254,Delhi,withdrawal,success,0
318,A1673,A612,39723,1232,D193,Bangalore,transfer,success,0
319,A592,A1897,8302,1236,D288,Pakistan,payment,success,0
320,A1353,A324,59402,1240,D190,Mumbai,transfer,success,0
321,A2478,A2470,5772,1245,D38,Dubai,payment,success,0
322,A1364,A1242,2258,1249,D109,Dubai,withdrawal,success,0
323,A2476,A838,52518,1257,D123,London,payment,success,0
324,A2037,A1909,13230,1262,D241,London,payment,success,0
325,A2305,A907,97625,1268,D75,Delhi,payment,success,0
326,A943,A1556,75649,1271,D126,Ladakh,payment,success,0
327,A2010,A1888,22710,1279,D181,Bangalore,withdrawal,success,0
328,A305,A199,1529,1280,D212,Bangalore,transfer,success,0
329,A1868,A1999,5000,11283,D9,Singapore,transfer,success,1
330,A1685,A49,2531,1284,D272,Singapore,transfer,success,0
331,A2148,A610,32047,1286,D99,Singapore,payment,success,0
332,A1881,A2315,1000,1293,D_SHARED_1,Dubai,transfer,success,1
333,A2315,A997,1000,1294,D_SHARED_1,Dubai,transfer,success,1
334,A997,A926,1000,1295,D_SHARED_1,Dubai,transfer,success,1
335,A926,A1881,1000,1296,D_SHARED_1,Dubai,transfer,success,1
336,A331,A130,12592,1298,D208,Pakistan,withdrawal,success,0
337,A1357,A2318,1000,1301,D_SHARED_1,Dubai,transfer,success,1
338,A2318,A391,1000,1302,D_SHARED_1,Dubai,transfer,success,1
339,A391,A2164,1000,1303,D_SHARED_1,Dubai,transfer,success,1
340,A2164,A1357,1000,1304,D_SHARED_1,Dubai,transfer,success,1
341,A2322,A1948,36190,1302,D24,Mumbai,withdrawal,success,0
342,A735,A1289,2556,1312,D107,Bangalore,transfer,success,0
343,A985,A2322,84843,1317,D252,Ladakh,withdrawal,success,0
344,A574,A322,66257,1326,D178,Delhi,payment,success,0
345,A2440,A1625,43361,1336,D16,Singapore,payment,success,0
346,A1538,A1769,25083,1340,D300,Pakistan,withdrawal,success,0
347,A1557,A1298,1875600,1342,D79,Pakistan,transfer,success,1
348,A1822,A543,1464704,1344,D96,Pakistan,transfer,success,1
349,A2099,A1672,14180,1352,D14,Mumbai,withdrawal,success,0
350,A1329,A1578,78854,1354,D44,Delhi,withdrawal,success,0
351,A995,A2343,68818,1363,D87,Pakistan,transfer,success,0
352,A2020,A598,8764,1368,D86,Pakistan,payment,success,0
353,A2031,A2433,81494,1373,D101,Ladakh,transfer,success,0
354,A1361,A1557,1000,1378,D_SHARED_1,Dubai,transfer,success,1
355,A1557,A1350,1000,1379,D_SHARED_1,Dubai,transfer,success,1
356,A1350,A1804,1000,1380,D_SHARED_1,Dubai,transfer,success,1
357,A1804,A1361,1000,1381,D_SHARED_1,Dubai,transfer,success,1
358,A2435,A558,39754,1384,D165,Dubai,payment,success,0
359,A2012,A2359,32291,1389,D167,Pakistan,payment,success,0
360,A819,A2426,9154237,1395,D93,Delhi,transfer,failed,1
361,A819,A1891,3517416,1396,D225,Singapore,transfer,failed,1
362,A819,A284,6864356,1397,D256,Bangalore,transfer,failed,1
363,A819,A1241,4060541,1398,D130,Bangalore,transfer,success,1
364,A303,A1840,78429,1402,D246,Pakistan,withdrawal,success,0
365,A1473,A2200,78235,1403,D44,Mumbai,withdrawal,success,0
366,A182,A2307,85252,1409,D205,London,transfer,success,0
367,A2125,A2286,76543,1414,D295,Dubai,payment,success,0
368,A2411,A2050,20091,1421,D177,Delhi,transfer,success,0
369,A1406,A1866,27632,1424,D267,Ladakh,payment,success,0
370,A1854,A1307,9340,1426,D154,Delhi,withdrawal,success,0
371,A674,A1000,68040,1428,D90,Bangalore,withdrawal,success,0
372,A950,A1660,82907,1435,D95,Bangalore,withdrawal,success,0
373,A1842,A2426,56637,1445,D200,Delhi,transfer,success,0
374,A257,A2365,13747,1450,D275,Bangalore,payment,success,0
375,A1284,A2446,51537,1458,D201,Mumbai,payment,success,0
376,A1219,A2418,11734,1466,D69,London,payment,success,0
377,A1714,A2443,18685,1469,D295,Pakistan,transfer,success,0
378,A710,A2273,22481,1477,D251,Singapore,withdrawal,success,0
379,A40,A1985,18529,1478,D100,Pakistan,payment,success,0
380,A1819,A2002,22462,1486,D43,Delhi,payment,success,0
381,A689,A1874,74504,1490,D254,Mumbai,payment,success,0
382,A1503,A2221,99112,1499,D22,Ladakh,withdrawal,success,0
383,A133,A1843,20437,1503,D231,London,payment,success,0
384,A481,A971,28064,1505,D180,Pakistan,transfer,success,0
385,A2181,A1152,78825,1506,D276,Bangalore,withdrawal,success,0
386,A1096,A2108,89878,1511,D49,Bangalore,payment,success,0
387,A544,A1023,19586,1514,D165,Dubai,payment,success,0
388,A1101,A1697,49398,1517,D232,Mumbai,payment,success,0
389,A1512,A1863,64161,1526,D168,Delhi,withdrawal,success,0
390,A1468,A260,70913,1534,D204,Dubai,payment,success,0
391,A1384,A2242,76175,1540,D67,Ladakh,withdrawal,success,0
392,A509,A67,2650623,1541,D226,Dubai,transfer,success,1
393,A1870,A67,11440,1542,D220,Dubai,transfer,success,1
394,A829,A67,2213234,1543,D155,Dubai,transfer,success,1
395,A652,A67,4597383,1544,D48,Dubai,transfer,success,1
396,A1477,A67,4200935,1545,D43,Dubai,transfer,success,1
397,A678,A213,52370,1547,D157,Dubai,transfer,success,0
398,A544,A2432,19705,1551,D165,Dubai,withdrawal,success,0
399,A1730,A542,8014580,1559,D_SHARED_1,Dubai,transfer,success,1
400,A291,A938,6426946,1560,D_SHARED_1,Dubai,transfer,success,1
401,A366,A420,1731534,1561,D_SHARED_1,Dubai,transfer,success,1
402,A1284,A1506,5020771,1562,D_SHARED_1,Dubai,transfer,success,1
403,A562,A1568,2233923,1563,D_SHARED_1,Dubai,transfer,success,1
404,A35,A2500,2753518,1562,D226,London,transfer,failed,1
405,A35,A873,2539736,1563,D211,Ladakh,transfer,failed,1
406,A35,A890,1454483,1564,D52,Bangalore,transfer,failed,1
407,A35,A505,9891508,1565,D197,London,transfer,success,1
408,A573,A1015,36546,1569,D44,Dubai,withdrawal,success,0
409,A1236,A842,68272,1570,D261,Dubai,payment,success,0
410,A981,A2028,50809,1571,D58,Dubai,payment,success,0
411,A1724,A1497,9166436,1577,D89,Ladakh,transfer,failed,1
412,A1724,A299,280101,1578,D35,Delhi,transfer,failed,1
413,A1724,A1074,3619665,1579,D21,Delhi,transfer,failed,1
414,A1724,A1631,8499615,1580,D147,Pakistan,transfer,success,1
415,A338,A2198,70971,1584,D79,Singapore,payment,success,0
416,A833,A637,70514,1586,D168,Pakistan,payment,success,0
417,A978,A238,32368,1593,D45,Pakistan,payment,success,0
418,A1267,A720,16119,1603,D7,Bangalore,withdrawal,success,0
419,A1062,A684,49126,1612,D65,Singapore,transfer,success,0
420,A1115,A2146,8631,1618,D135,Mumbai,payment,success,0
421,A645,A1045,13992,1628,D294,Mumbai,withdrawal,success,0
422,A189,A1933,1107,1637,D_SHARED_2,Dubai,transfer,success,1
423,A1933,A1491,1107,1638,D_SHARED_1,Dubai,transfer,success,1
424,A1491,A1569,1107,1639,D_SHARED_5,Dubai,transfer,success,1
425,A1569,A189,1107,1640,D_SHARED_4,Dubai,transfer,success,1
426,A1705,A1311,36272,1641,D40,London,transfer,success,0
427,A189,A1643,9737,1645,D239,Singapore,payment,success,0
428,A33,A1512,26792,1647,D150,Singapore,withdrawal,success,0
429,A801,A2239,32480,1655,D78,Delhi,transfer,success,0
430,A40,A1373,18687,1659,D100,Pakistan,transfer,success,0
431,A976,A1720,64993,1663,D31,Bangalore,transfer,success,0
432,A2129,A1692,92444,1664,D191,Ladakh,withdrawal,success,0
